Source,Target,weight
0,1,1
10,11,1
20,21,1
30,31,1
30,41,0
30,81,0
40,31,0
40,41,1
40,81,0
50,51,1
60,61,1
60,71,0
70,61,0
70,71,1
80,31,0
80,41,0
80,81,1
90,91,1
1,2,1
11,12,1
21,22,1
31,32,1
31,42,0
41,32,0
41,42,1
51,52,1
61,62,1
61,72,0
71,62,0
71,72,1
81,82,1
91,92,1
2,3,1
12,13,1
22,23,1
32,33,1
32,43,0
42,33,0
42,43,1
52,53,1
62,63,1
72,73,1
82,83,1
92,93,1
3,4,1
13,14,1
23,24,1
33,34,1
33,44,0
43,34,0
43,44,1
53,54,1
63,64,1
73,74,1
83,84,1
93,94,1
4,5,1
14,15,1
24,25,1
34,35,1
34,45,0
44,35,0
44,45,1
54,55,1
64,65,1
74,75,1
84,85,1
94,95,1
5,6,1
15,16,1
25,26,1
35,36,1
35,46,0
45,36,0
45,46,1
55,56,1
65,66,1
75,76,1
85,86,1
95,96,1
6,7,1
16,17,1
26,27,1
36,37,1
36,47,0
46,37,0
46,47,1
56,57,1
66,67,1
76,77,1
86,87,1
96,97,1
7,8,1
17,18,1
27,28,1
37,38,1
37,48,0
47,38,0
47,48,1
57,58,1
67,68,1
77,78,1
87,88,1
97,98,1
8,9,1
18,19,1
28,29,1
38,39,1
38,49,0
48,39,0
48,49,1
58,59,1
68,69,1
78,79,1
88,89,1
98,99,1
