Source,S_X,S_Y,S_Z,s_phi,s_eta,s_q,s_pt,s_d0,s_z0,Target,T_X,T_Y,T_Z,t_phi,t_eta,t_q,t_pt,t_d0,t_z0,weight
160,-9.9783,0.077,25.2896,3.1406,1.6738,1,98.3096,-0.0616,-0.3791,161,-19.9729,0.1042,51.0003,3.1406,1.6738,1,98.3096,-0.0616,-0.3791,1
170,6.0377,7.6239,-17.2125,0.8816,-1.3316,-1,74.0422,0.1815,-0.085,171,12.19,15.1246,-34.3009,0.8816,-1.3316,-1,74.0422,0.1815,-0.085,1
170,6.0377,7.6239,-17.2125,0.8816,-1.3316,-1,74.0422,0.1815,-0.085,291,11.1298,16.1989,-13.4205,0.9729,-0.6255,-1,95.0663,-0.1047,-0.3105,1
180,3.7757,-8.9944,-2.7318,-1.1526,-0.2336,1,82.9136,-0.1953,-0.4328,181,7.7236,-17.9283,-5.0342,-1.1526,-0.2336,1,82.9136,-0.1953,-0.4328,1
180,3.7757,-8.9944,-2.7318,-1.1526,-0.2336,1,82.9136,-0.1953,-0.4328,351,6.1028,-18.3652,27.5634,-1.2323,1.1559,1,52.9243,-0.3015,-0.1256,1
180,3.7757,-8.9944,-2.7318,-1.1526,-0.2336,1,82.9136,-0.1953,-0.4328,371,8.9796,-17.5923,-73.7125,-1.0739,-2.0296,1,45.5045,-0.4422,0.1332,1
180,3.7757,-8.9944,-2.7318,-1.1526,-0.2336,1,82.9136,-0.1953,-0.4328,471,7.3924,-18.0204,-34.1563,-1.182,-1.3192,-1,32.901,-0.0573,-0.334,1
190,1.9264,9.4795,0.9998,1.4127,0.1206,-1,62.2537,-0.4185,-0.1687,191,3.4315,19.0865,2.1755,1.4127,0.1206,-1,62.2537,-0.4185,-0.1687,1
200,-6.3675,7.2885,-32.2269,2.2461,-1.9173,1,96.7588,0.4194,-0.0483,31,-13.3051,14.0084,20.9974,2.3359,0.9442,-1,96.1558,-0.1284,-0.0772,1
200,-6.3675,7.2885,-32.2269,2.2461,-1.9173,1,96.7588,0.4194,-0.0483,201,-12.4312,14.8866,-64.5779,2.2461,-1.9173,1,96.7588,0.4194,-0.0483,1
210,7.8399,-5.8186,-35.6455,-0.6235,-2.0087,-1,25.9772,-0.1676,0.0797,211,15.8347,-11.4893,-71.5154,-0.6235,-2.0087,-1,25.9772,-0.1676,0.0797,1
220,-4.8995,8.6866,24.1366,2.128,1.6213,1,32.1308,-0.4172,-0.0841,61,-9.0627,17.5739,-2.1941,2.0232,-0.1301,-1,87.7568,0.4422,0.3841,1
220,-4.8995,8.6866,24.1366,2.128,1.6213,1,32.1308,-0.4172,-0.0841,221,-10.1314,17.1859,48.3989,2.128,1.6213,1,32.1308,-0.4172,-0.0841,1
220,-4.8995,8.6866,24.1366,2.128,1.6213,1,32.1308,-0.4172,-0.0841,401,-8.8006,17.6428,20.1666,2.041,0.8988,-1,87.9777,-0.1726,-0.0382,1
230,-9.3621,-2.3853,-33.23,-2.8969,-1.9462,-1,80.5046,0.0396,-0.0947,231,-18.7265,-4.7442,-66.3509,-2.8969,-1.9462,-1,80.5046,0.0396,-0.0947,1
230,-9.3621,-2.3853,-33.23,-2.8969,-1.9462,-1,80.5046,0.0396,-0.0947,331,-19.0805,-3.4304,-56.1632,-2.9465,-1.7919,1,85.7707,-0.3082,0.3817,1
230,-9.3621,-2.3853,-33.23,-2.8969,-1.9462,-1,80.5046,0.0396,-0.0947,411,-18.7207,-4.7871,-1.1886,-2.8974,-0.0767,-1,27.234,0.0385,0.2957,1
240,3.7175,9.009,8.9709,1.1873,0.7949,-1,98.393,-0.0826,0.3822,241,7.3396,18.0321,17.5396,1.1873,0.7949,-1,98.393,-0.0826,0.3822,1
240,3.7175,9.009,8.9709,1.1873,0.7949,-1,98.393,-0.0826,0.3822,311,6.0088,18.3894,39.3091,1.2738,1.4691,1,26.1918,-0.2803,-0.4891,1
250,-2.9733,-9.2077,-18.6094,-1.8959,-1.423,1,41.0979,0.1369,0.2991,251,-6.1013,-18.3633,-37.5178,-1.8959,-1.423,1,41.0979,0.1369,0.2991,1
250,-2.9733,-9.2077,-18.6094,-1.8959,-1.423,1,41.0979,0.1369,0.2991,341,-5.8,-18.4464,68.1613,-1.8769,1.9762,1,80.4749,0.056,-0.2587,1
250,-2.9733,-9.2077,-18.6094,-1.8959,-1.423,1,41.0979,0.1369,0.2991,391,-7.0388,-18.1214,-16.7688,-1.9599,-0.7832,-1,81.4056,0.3342,0.0599,1
260,2.0885,-9.4412,-13.2196,-1.3486,-1.1166,-1,50.605,-0.0543,-0.0354,121,2.6619,-19.2858,10.9085,-1.417,0.5183,1,51.781,-0.2816,0.3608,1
260,2.0885,-9.4412,-13.2196,-1.3486,-1.1166,-1,50.605,-0.0543,-0.0354,261,4.251,-18.8657,-26.4039,-1.3486,-1.1166,-1,50.605,-0.0543,-0.0354,1
260,2.0885,-9.4412,-13.2196,-1.3486,-1.1166,-1,50.605,-0.0543,-0.0354,281,4.786,-18.7155,-77.2337,-1.2975,-2.1002,1,40.0025,-0.3884,0.4569,1
270,-3.4854,9.0719,-10.1068,1.9082,-0.8908,1,50.1526,0.2963,-0.2629,111,-5.5702,18.5051,73.2232,1.8562,2.0357,-1,64.5824,0.101,0.4918,1
270,-3.4854,9.0719,-10.1068,1.9082,-0.8908,1,50.1526,0.2963,-0.2629,271,-6.6568,18.2092,-19.908,1.9082,-0.8908,1,50.1526,0.2963,-0.2629,1
280,2.2186,-9.4048,-38.3811,-1.2975,-2.1002,1,40.0025,-0.3884,0.4569,261,4.251,-18.8657,-26.4039,-1.3486,-1.1166,-1,50.605,-0.0543,-0.0354,1
280,2.2186,-9.4048,-38.3811,-1.2975,-2.1002,1,40.0025,-0.3884,0.4569,281,4.786,-18.7155,-77.2337,-1.2975,-2.1002,1,40.0025,-0.3884,0.4569,1
290,5.6025,8.0512,-6.853,0.9729,-0.6255,-1,95.0663,-0.1047,-0.3105,171,12.19,15.1246,-34.3009,0.8816,-1.3316,-1,74.0422,0.1815,-0.085,1
290,5.6025,8.0512,-6.853,0.9729,-0.6255,-1,95.0663,-0.1047,-0.3105,291,11.1298,16.1989,-13.4205,0.9729,-0.6255,-1,95.0663,-0.1047,-0.3105,1
300,9.9697,-0.0954,0.9698,0.0342,0.0944,1,50.9965,-0.4252,0.0283,301,19.9404,0.212,1.9128,0.0342,0.0944,1,50.9965,-0.4252,0.0283,1
310,3.1206,9.1661,19.4235,1.2738,1.4691,1,26.1918,-0.2803,-0.4891,241,7.3396,18.0321,17.5396,1.1873,0.7949,-1,98.393,-0.0826,0.3822,1
310,3.1206,9.1661,19.4235,1.2738,1.4691,1,26.1918,-0.2803,-0.4891,311,6.0088,18.3894,39.3091,1.2738,1.4691,1,26.1918,-0.2803,-0.4891,1
320,0.6132,-9.8399,-28.6436,-1.4893,-1.7963,1,52.6559,-0.1795,0.2461,1,-0.4144,-19.8918,-12.6639,-1.6049,-0.6008,-1,48.2712,0.2156,0.022,1
320,0.6132,-9.8399,-28.6436,-1.4893,-1.7963,1,52.6559,-0.1795,0.2461,121,2.6619,-19.2858,10.9085,-1.417,0.5183,1,51.781,-0.2816,0.3608,1
320,0.6132,-9.8399,-28.6436,-1.4893,-1.7963,1,52.6559,-0.1795,0.2461,131,1.9835,-19.471,44.2812,-1.4872,1.5616,1,37.5942,0.4109,-0.3033,1
320,0.6132,-9.8399,-28.6436,-1.4893,-1.7963,1,52.6559,-0.1795,0.2461,321,1.3814,-19.6331,-57.4338,-1.4893,-1.7963,1,52.6559,-0.1795,0.2461,1
330,-9.5808,-1.5726,-27.9262,-2.9465,-1.7919,1,85.7707,-0.3082,0.3817,231,-18.7265,-4.7442,-66.3509,-2.8969,-1.9462,-1,80.5046,0.0396,-0.0947,1
330,-9.5808,-1.5726,-27.9262,-2.9465,-1.7919,1,85.7707,-0.3082,0.3817,331,-19.0805,-3.4304,-56.1632,-2.9465,-1.7919,1,85.7707,-0.3082,0.3817,1
340,-2.8669,-9.2337,33.9513,-1.8769,1.9762,1,80.4749,0.056,-0.2587,251,-6.1013,-18.3633,-37.5178,-1.8959,-1.423,1,41.0979,0.1369,0.2991,1
340,-2.8669,-9.2337,33.9513,-1.8769,1.9762,1,80.4749,0.056,-0.2587,341,-5.8,-18.4464,68.1613,-1.8769,1.9762,1,80.4749,0.056,-0.2587,1
340,-2.8669,-9.2337,33.9513,-1.8769,1.9762,1,80.4749,0.056,-0.2587,391,-7.0388,-18.1214,-16.7688,-1.9599,-0.7832,-1,81.4056,0.3342,0.0599,1
350,2.9132,-9.2131,13.6943,-1.2323,1.1559,1,52.9243,-0.3015,-0.1256,261,4.251,-18.8657,-26.4039,-1.3486,-1.1166,-1,50.605,-0.0543,-0.0354,1
350,2.9132,-9.2131,13.6943,-1.2323,1.1559,1,52.9243,-0.3015,-0.1256,281,4.786,-18.7155,-77.2337,-1.2975,-2.1002,1,40.0025,-0.3884,0.4569,1
350,2.9132,-9.2131,13.6943,-1.2323,1.1559,1,52.9243,-0.3015,-0.1256,351,6.1028,-18.3652,27.5634,-1.2323,1.1559,1,52.9243,-0.3015,-0.1256,1
350,2.9132,-9.2131,13.6943,-1.2323,1.1559,1,52.9243,-0.3015,-0.1256,471,7.3924,-18.0204,-34.1563,-1.182,-1.3192,-1,32.901,-0.0573,-0.334,1
360,9.2493,2.7704,-4.7949,0.3006,-0.4885,1,85.4959,-0.0864,0.1114,141,18.2028,6.7124,-49.1674,0.3705,-1.6518,-1,64.2611,-0.3674,-0.431,1
360,9.2493,2.7704,-4.7949,0.3006,-0.4885,1,85.4959,-0.0864,0.1114,361,18.5024,5.6192,-9.7148,0.3006,-0.4885,1,85.4959,-0.0864,0.1114,1
360,9.2493,2.7704,-4.7949,0.3006,-0.4885,1,85.4959,-0.0864,0.1114,421,18.5497,5.4003,-5.6076,0.2818,-0.2833,1,78.3917,0.0566,-0.0618,1
370,4.2843,-8.8547,-36.6158,-1.0739,-2.0296,1,45.5045,-0.4422,0.1332,181,7.7236,-17.9283,-5.0342,-1.1526,-0.2336,1,82.9136,-0.1953,-0.4328,1
370,4.2843,-8.8547,-36.6158,-1.0739,-2.0296,1,45.5045,-0.4422,0.1332,371,8.9796,-17.5923,-73.7125,-1.0739,-2.0296,1,45.5045,-0.4422,0.1332,1
370,4.2843,-8.8547,-36.6158,-1.0739,-2.0296,1,45.5045,-0.4422,0.1332,471,7.3924,-18.0204,-34.1563,-1.182,-1.3192,-1,32.901,-0.0573,-0.334,1
380,-7.7088,5.9584,2.1448,2.4596,0.2191,1,64.1436,0.2419,-0.0061,381,-15.2317,12.0993,4.2893,2.4596,0.2191,1,64.1436,0.2419,-0.0061,1
380,-7.7088,5.9584,2.1448,2.4596,0.2191,1,64.1436,0.2419,-0.0061,431,-15.1881,12.1374,27.5872,2.4698,1.1544,-1,76.4496,-0.0765,-0.1835,1
390,-3.3582,-9.09,-8.325,-1.9599,-0.7832,-1,81.4056,0.3342,0.0599,51,-7.8453,-17.8979,-8.2793,-1.9757,-0.4247,1,38.7031,-0.1027,0.2707,1
390,-3.3582,-9.09,-8.325,-1.9599,-0.7832,-1,81.4056,0.3342,0.0599,251,-6.1013,-18.3633,-37.5178,-1.8959,-1.423,1,41.0979,0.1369,0.2991,1
390,-3.3582,-9.09,-8.325,-1.9599,-0.7832,-1,81.4056,0.3342,0.0599,341,-5.8,-18.4464,68.1613,-1.8769,1.9762,1,80.4749,0.056,-0.2587,1
390,-3.3582,-9.09,-8.325,-1.9599,-0.7832,-1,81.4056,0.3342,0.0599,391,-7.0388,-18.1214,-16.7688,-1.9599,-0.7832,-1,81.4056,0.3342,0.0599,1
400,-4.3081,8.8447,10.0427,2.041,0.8988,-1,87.9777,-0.1726,-0.0382,61,-9.0627,17.5739,-2.1941,2.0232,-0.1301,-1,87.7568,0.4422,0.3841,1
400,-4.3081,8.8447,10.0427,2.041,0.8988,-1,87.9777,-0.1726,-0.0382,221,-10.1314,17.1859,48.3989,2.128,1.6213,1,32.1308,-0.4172,-0.0841,1
400,-4.3081,8.8447,10.0427,2.041,0.8988,-1,87.9777,-0.1726,-0.0382,401,-8.8006,17.6428,20.1666,2.041,0.8988,-1,87.9777,-0.1726,-0.0382,1
410,-9.3606,-2.3929,-0.4465,-2.8974,-0.0767,-1,27.234,0.0385,0.2957,231,-18.7265,-4.7442,-66.3509,-2.8969,-1.9462,-1,80.5046,0.0396,-0.0947,1
410,-9.3606,-2.3929,-0.4465,-2.8974,-0.0767,-1,27.234,0.0385,0.2957,331,-19.0805,-3.4304,-56.1632,-2.9465,-1.7919,1,85.7707,-0.3082,0.3817,1
410,-9.3606,-2.3929,-0.4465,-2.8974,-0.0767,-1,27.234,0.0385,0.2957,411,-18.7207,-4.7871,-1.1886,-2.8974,-0.0767,-1,27.234,0.0385,0.2957,1
420,9.265,2.734,-2.8347,0.2818,-0.2833,1,78.3917,0.0566,-0.0618,141,18.2028,6.7124,-49.1674,0.3705,-1.6518,-1,64.2611,-0.3674,-0.431,1
420,9.265,2.734,-2.8347,0.2818,-0.2833,1,78.3917,0.0566,-0.0618,361,18.5024,5.6192,-9.7148,0.3006,-0.4885,1,85.4959,-0.0864,0.1114,1
420,9.265,2.734,-2.8347,0.2818,-0.2833,1,78.3917,0.0566,-0.0618,421,18.5497,5.4003,-5.6076,0.2818,-0.2833,1,78.3917,0.0566,-0.0618,1
430,-7.5658,6.1043,13.7018,2.4698,1.1544,-1,76.4496,-0.0765,-0.1835,381,-15.2317,12.0993,4.2893,2.4596,0.2191,1,64.1436,0.2419,-0.0061,1
430,-7.5658,6.1043,13.7018,2.4698,1.1544,-1,76.4496,-0.0765,-0.1835,431,-15.1881,12.1374,27.5872,2.4698,1.1544,-1,76.4496,-0.0765,-0.1835,1
440,-0.1357,-9.9684,21.228,-1.6112,1.4815,1,90.8681,0.273,0.4382,1,-0.4144,-19.8918,-12.6639,-1.6049,-0.6008,-1,48.2712,0.2156,0.022,1
440,-0.1357,-9.9684,21.228,-1.6112,1.4815,1,90.8681,0.273,0.4382,321,1.3814,-19.6331,-57.4338,-1.4893,-1.7963,1,52.6559,-0.1795,0.2461,1
440,-0.1357,-9.9684,21.228,-1.6112,1.4815,1,90.8681,0.273,0.4382,441,-0.5537,-19.8541,41.869,-1.6112,1.4815,1,90.8681,0.273,0.4382,1
