x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
9.216,-4.0798,8.9277,11,1,T0,-0.4467,0.8019,1,69.2915,0.3108,-0.0455,0
17.6857,-8.163,17.3026,11,2,T0,-0.4467,0.8019,1,69.2915,0.3108,-0.0455,1
26.7532,-12.5528,26.2758,11,3,T0,-0.4467,0.8019,1,69.2915,0.3108,-0.0455,2
35.2094,-16.6637,34.6508,11,4,T0,-0.4467,0.8019,1,69.2915,0.3108,-0.0455,3
44.2625,-21.0831,43.624,11,5,T0,-0.4467,0.8019,1,69.2915,0.3108,-0.0455,4
53.308,-25.5178,52.5972,11,6,T0,-0.4467,0.8019,1,69.2915,0.3108,-0.0455,5
61.7438,-29.6706,60.9721,11,7,T0,-0.4467,0.8019,1,69.2915,0.3108,-0.0455,6
70.7748,-34.1348,69.9453,11,8,T0,-0.4467,0.8019,1,69.2915,0.3108,-0.0455,7
79.7983,-38.6143,78.9185,11,9,T0,-0.4467,0.8019,1,69.2915,0.3108,-0.0455,8
88.2133,-42.809,87.2935,11,10,T0,-0.4467,0.8019,1,69.2915,0.3108,-0.0455,9
-6.0928,7.5459,-33.7874,4,1,T1,2.2457,-1.9723,-1,64.1858,0.0332,0.3894,10
-12.2499,15.1975,-68.3969,4,2,T1,2.2457,-1.9723,-1,64.1858,0.0332,0.3894,11
-18.2663,22.6473,-102.1411,4,3,T1,2.2457,-1.9723,-1,64.1858,0.0332,0.3894,12
-24.4503,30.2772,-136.7506,4,4,T1,2.2457,-1.9723,-1,64.1858,0.0332,0.3894,13
-30.4928,37.7057,-170.4948,4,5,T1,2.2457,-1.9723,-1,64.1858,0.0332,0.3894,14
-36.7036,45.3139,-205.1042,4,6,T1,2.2457,-1.9723,-1,64.1858,0.0332,0.3894,15
-42.7721,52.7211,-238.8485,4,7,T1,2.2457,-1.9723,-1,64.1858,0.0332,0.3894,16
-49.0096,60.3074,-273.4579,4,8,T1,2.2457,-1.9723,-1,64.1858,0.0332,0.3894,17
-55.1824,67.7879,-307.6348,4,9,T1,2.2457,-1.9723,-1,64.1858,0.0332,0.3894,18
-61.3683,75.2576,-341.8116,4,10,T1,2.2457,-1.9723,-1,64.1858,0.0332,0.3894,19
