Source,Target,weight
0,41,1
0,61,1
10,11,1
30,31,1
30,71,1
40,41,1
40,61,1
1,2,1
11,12,1
21,22,1
21,92,0.5
31,32,1
41,42,1
41,62,0.5
51,52,1
61,42,0.5
61,62,1
71,72,1
81,82,1
91,22,0.5
91,92,1
2,3,1
12,13,1
22,23,1
22,93,0.5
32,33,1
42,43,1
42,63,0.5
52,53,1
62,43,0.5
62,63,1
72,73,1
82,83,1
92,23,0.5
92,93,1
3,4,1
13,14,1
23,24,1
23,94,0.5
33,34,1
43,44,1
53,54,1
63,64,1
73,74,1
83,84,1
93,24,0.5
93,94,1
4,5,1
14,15,1
24,25,1
24,95,0.5
34,35,1
44,45,1
54,55,1
64,65,1
74,75,1
84,85,1
94,25,0.5
94,95,1
5,6,1
15,16,1
25,26,1
25,96,0.5
35,36,1
45,46,1
55,56,1
65,66,1
75,76,1
85,86,1
95,26,0.5
95,96,1
6,7,1
16,17,1
26,27,1
26,97,0.5
36,37,1
46,47,1
56,57,1
66,67,1
76,77,1
86,87,1
96,27,0.5
96,97,1
7,8,1
17,18,1
27,28,1
27,98,0.5
37,38,1
47,48,1
57,58,1
67,68,1
77,78,1
87,88,1
97,28,0.5
97,98,1
8,9,1
18,19,1
28,29,1
28,99,0.5
38,39,1
48,49,1
58,59,1
68,69,1
78,79,1
88,89,1
98,29,0.5
98,99,1
