x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
8.9813,-3.7126,3.6657,11,1,T5,-0.3523,0.359,-1,83.5444,-0.3921,0.1046,50
18.1023,-7.0449,7.2268,11,2,T5,-0.3523,0.359,-1,83.5444,-0.3921,0.1046,51
27.2279,-10.3649,10.7879,11,3,T5,-0.3523,0.359,-1,83.5444,-0.3921,0.1046,52
36.358,-13.6724,14.3489,11,4,T5,-0.3523,0.359,-1,83.5444,-0.3921,0.1046,53
45.4925,-16.9677,17.91,11,5,T5,-0.3523,0.359,-1,83.5444,-0.3921,0.1046,54
54.6315,-20.2506,21.4711,11,6,T5,-0.3523,0.359,-1,83.5444,-0.3921,0.1046,55
63.7749,-23.5211,25.0322,11,7,T5,-0.3523,0.359,-1,83.5444,-0.3921,0.1046,56
72.9227,-26.7793,28.5933,11,8,T5,-0.3523,0.359,-1,83.5444,-0.3921,0.1046,57
82.0749,-30.0251,32.1544,11,9,T5,-0.3523,0.359,-1,83.5444,-0.3921,0.1046,58
91.2315,-33.2585,35.7154,11,10,T5,-0.3523,0.359,-1,83.5444,-0.3921,0.1046,59
-4.074,-8.9411,32.3179,8,1,T6,-2.0172,1.9047,1,72.5714,0.1933,0.0528,60
-8.3363,-17.792,64.583,8,2,T6,-2.0172,1.9047,1,72.5714,0.1933,0.0528,61
-12.6124,-26.6362,96.8482,8,3,T6,-2.0172,1.9047,1,72.5714,0.1933,0.0528,62
-16.9025,-35.4736,129.1133,8,4,T6,-2.0172,1.9047,1,72.5714,0.1933,0.0528,63
-21.2066,-44.3043,161.3784,8,5,T6,-2.0172,1.9047,1,72.5714,0.1933,0.0528,64
-25.5822,-53.2458,194.0737,8,6,T6,-2.0172,1.9047,1,72.5714,0.1933,0.0528,65
-29.8563,-61.9453,225.9087,8,7,T6,-2.0172,1.9047,1,72.5714,0.1933,0.0528,66
-34.26,-70.873,258.604,8,8,T6,-2.0172,1.9047,1,72.5714,0.1933,0.0528,67
-38.6197,-79.6763,290.8691,8,9,T6,-2.0172,1.9047,1,72.5714,0.1933,0.0528,68
-42.9933,-88.4727,323.1343,8,10,T6,-2.0172,1.9047,1,72.5714,0.1933,0.0528,69
-2.7454,-9.3413,11.6568,8,1,T7,-1.9073,1.0245,1,84.9394,0.4991,-0.1425,70
-5.974,-18.5135,23.4561,8,2,T7,-1.9073,1.0245,1,84.9394,0.4991,-0.1425,71
-9.1194,-27.4119,34.9084,8,3,T7,-1.9073,1.0245,1,84.9394,0.4991,-0.1425,72
-12.3722,-36.5756,46.7077,8,4,T7,-1.9073,1.0245,1,84.9394,0.4991,-0.1425,73
-15.6371,-45.735,58.507,8,5,T7,-1.9073,1.0245,1,84.9394,0.4991,-0.1425,74
-18.9142,-54.8901,70.3063,8,6,T7,-1.9073,1.0245,1,84.9394,0.4991,-0.1425,75
-22.2035,-64.0407,82.1056,8,7,T7,-1.9073,1.0245,1,84.9394,0.4991,-0.1425,76
-25.505,-73.187,93.9049,8,8,T7,-1.9073,1.0245,1,84.9394,0.4991,-0.1425,77
-28.8187,-82.3289,105.7042,8,9,T7,-1.9073,1.0245,1,84.9394,0.4991,-0.1425,78
-32.1445,-91.4663,117.5035,8,10,T7,-1.9073,1.0245,1,84.9394,0.4991,-0.1425,79
-4.2102,8.9076,-0.4657,3,1,T8,2.0207,-0.0915,-1,55.1838,-0.0929,0.4368,80
-8.5224,17.7659,-1.3681,3,2,T8,2.0207,-0.0915,-1,55.1838,-0.0929,0.4368,81
-12.853,26.6152,-2.2706,3,3,T8,2.0207,-0.0915,-1,55.1838,-0.0929,0.4368,82
-17.202,35.4555,-3.1731,3,4,T8,2.0207,-0.0915,-1,55.1838,-0.0929,0.4368,83
-21.5693,44.2867,-4.0756,3,5,T8,2.0207,-0.0915,-1,55.1838,-0.0929,0.4368,84
-25.955,53.1089,-4.9781,3,6,T8,2.0207,-0.0915,-1,55.1838,-0.0929,0.4368,85
-30.3589,61.9219,-5.8806,3,7,T8,2.0207,-0.0915,-1,55.1838,-0.0929,0.4368,86
-34.7812,70.7258,-6.7831,3,8,T8,2.0207,-0.0915,-1,55.1838,-0.0929,0.4368,87
-39.2217,79.5205,-7.6856,3,9,T8,2.0207,-0.0915,-1,55.1838,-0.0929,0.4368,88
-43.6805,88.3059,-8.588,3,10,T8,2.0207,-0.0915,-1,55.1838,-0.0929,0.4368,89
-6.1039,-7.3943,-11.5137,7,1,T9,-2.2632,-1.0427,1,69.2444,0.0301,0.3961,90
-12.4236,-14.976,-23.7739,7,2,T9,-2.2632,-1.0427,1,69.2444,0.0301,0.3961,91
-18.5747,-22.331,-35.6837,7,3,T9,-2.2632,-1.0427,1,69.2444,0.0301,0.3961,92
-24.9191,-29.892,-47.9439,7,4,T9,-2.2632,-1.0427,1,69.2444,0.0301,0.3961,93
-31.0943,-37.2269,-59.8537,7,5,T9,-2.2632,-1.0427,1,69.2444,0.0301,0.3961,94
-37.2812,-44.5518,-71.7636,7,6,T9,-2.2632,-1.0427,1,69.2444,0.0301,0.3961,95
-43.6625,-52.0818,-84.0237,7,7,T9,-2.2632,-1.0427,1,69.2444,0.0301,0.3961,96
-49.8733,-59.3864,-95.9336,7,8,T9,-2.2632,-1.0427,1,69.2444,0.0301,0.3961,97
-56.0959,-66.6811,-107.8435,7,9,T9,-2.2632,-1.0427,1,69.2444,0.0301,0.3961,98
-62.5138,-74.1798,-120.1036,7,10,T9,-2.2632,-1.0427,1,69.2444,0.0301,0.3961,99
