x,y,z,N_side,N_layer,t_label,p_label,phi,eta,q,pt,d0,z0
-16.717470005694697,85.67339810626532,403.52431811350056,3,9,T4,P505,1.7205278901569319,2.317700507822645,1,60.551432814011655,0.04480849562607214,-0.34885222219150114
-17.989062343512725,95.24709876469326,452.07302560000204,3,10,T4,P506,1.7205278901569319,2.317700507822645,1,60.551432814011655,0.04480849562607214,-0.34885222219150114
7.102491167789774,-7.093055414295932,-55.373769430309196,10,1,T5,P507,-1.635898206542499,-1.340040292594689,-1,85.82925041438642,0.07545887910391758,-0.43606065599739496
6.4031961206320736,-18.097477083307115,-74.98660914792536,9,2,T5,P508,-1.635898206542499,-1.340040292594689,-1,85.82925041438642,0.07545887910391758,-0.43606065599739496
5.76539219828336,-28.369205013671717,-93.29192621770044,9,3,T5,P509,-1.635898206542499,-1.340040292594689,-1,85.82925041438642,0.07545887910391758,-0.43606065599739496
5.141915263277879,-38.64181252249567,-111.59724328747554,9,4,T5,P510,-1.635898206542499,-1.340040292594689,-1,85.82925041438642,0.07545887910391758,-0.43606065599739496
4.532766528460865,-48.915279626531245,-129.9025603572506,9,5,T5,P511,-1.635898206542499,-1.340040292594689,-1,85.82925041438642,0.07545887910391758,-0.43606065599739496
3.937947178807121,-59.18958634086031,-148.2078774270257,9,6,T5,P512,-1.635898206542499,-1.340040292594689,-1,85.82925041438642,0.07545887910391758,-0.43606065599739496
3.357458371414459,-69.46471267892976,-166.51319449680076,9,7,T5,P513,-1.635898206542499,-1.340040292594689,-1,85.82925041438642,0.07545887910391758,-0.43606065599739496
2.8313022852677054,-79.00661984035668,-183.51098891873477,9,8,T5,P514,-1.635898206542499,-1.340040292594689,-1,85.82925041438642,0.07545887910391758,-0.43606065599739496
2.2784541195095844,-89.28327038288475,-201.8163059885099,9,9,T5,P515,-1.635898206542499,-1.340040292594689,-1,85.82925041438642,0.07545887910391758,-0.43606065599739496
1.7399397242152563,-99.56068200807857,-220.1216230582849,9,10,T5,P516,-1.635898206542499,-1.340040292594689,-1,85.82925041438642,0.07545887910391758,-0.43606065599739496
-9.582012775406014,0.9790579435261949,50.970043313862995,5,1,T6,P524,3.0638563058674277,2.152618500903317,1,80.81085975940087,-0.0022528483493128304,0.10088750814171865
-19.523250994433795,1.7744440400117978,93.31138197425739,5,2,T6,P525,3.0638563058674277,2.152618500903317,1,80.81085975940087,-0.0022528483493128304,0.10088750814171865
-29.463334885407402,2.5841283058136373,135.65272063465179,5,3,T6,P526,3.0638563058674277,2.152618500903317,1,80.81085975940087,-0.0022528483493128304,0.10088750814171865
-39.05954601107764,3.37941748340828,176.53401313434293,5,4,T6,P527,3.0638563058674277,2.152618500903317,1,80.81085975940087,-0.0022528483493128304,0.10088750814171865
-48.6546456437988,4.188006305152804,217.41530563403407,5,5,T6,P528,3.0638563058674277,2.152618500903317,1,80.81085975940087,-0.0022528483493128304,0.10088750814171865
-58.933855177876545,5.069108239735923,261.21669045513164,5,6,T6,P529,3.0638563058674277,2.152618500903317,1,80.81085975940087,-0.0022528483493128304,0.10088750814171865
-68.52659379933154,5.905241354067376,302.09798295482284,5,7,T6,P530,3.0638563058674277,2.152618500903317,1,80.81085975940087,-0.0022528483493128304,0.10088750814171865
-78.11816432122362,6.754669260405532,342.979275454514,5,8,T6,P531,3.0638563058674277,2.152618500903317,1,80.81085975940087,-0.0022528483493128304,0.10088750814171865
-87.70854831800456,7.617390326986985,383.8605679542051,5,9,T6,P532,3.0638563058674277,2.152618500903317,1,80.81085975940087,-0.0022528483493128304,0.10088750814171865
-97.98262213257762,8.556483782030263,427.6619527753028,5,10,T6,P533,3.0638563058674277,2.152618500903317,1,80.81085975940087,-0.0022528483493128304,0.10088750814171865
-5.711158332404056,7.9559158097143765,29.800880121209474,4,1,T7,P771,3.0269904035778,-1.7492026456704153,1,65.93781060104082,-0.0724680238352895,0.4815592949226518
-17.78238986658362,9.372718538981175,-4.085364871508768,5,2,T7,P772,3.0269904035778,-1.7492026456704153,1,65.93781060104082,-0.0724680238352895,0.4815592949226518
-26.833804847449308,10.45230349561396,-29.50004861604743,5,3,T7,P773,3.0269904035778,-1.7492026456704153,1,65.93781060104082,-0.0724680238352895,0.4815592949226518
-36.888881788659305,11.668911346330976,-57.738586109979295,5,4,T7,P774,3.0269904035778,-1.7492026456704153,1,65.93781060104082,-0.0724680238352895,0.4815592949226518
-46.94176894767319,12.903482820239457,-85.97712360391117,5,5,T7,P775,3.0269904035778,-1.7492026456704153,1,65.93781060104082,-0.0724680238352895,0.4815592949226518
-55.98746860250013,14.029952788375638,-111.39180734844984,5,6,T7,P776,3.0269904035778,-1.7492026456704153,1,65.93781060104082,-0.0724680238352895,0.4815592949226518
-66.03610676665807,15.298644240978842,-139.6303448423817,5,7,T7,P777,3.0269904035778,-1.7492026456704153,1,65.93781060104082,-0.0724680238352895,0.4815592949226518
-75.07793020840688,16.455815655536277,-165.04502858692035,5,8,T7,P778,3.0269904035778,-1.7492026456704153,1,65.93781060104082,-0.0724680238352895,0.4815592949226518
-85.12220357321073,17.758612465929723,-193.28356608085224,5,9,T7,P779,3.0269904035778,-1.7492026456704153,1,65.93781060104082,-0.0724680238352895,0.4815592949226518
-95.16413317788442,19.0793534590209,-221.5221035747841,5,10,T7,P780,3.0269904035778,-1.7492026456704153,1,65.93781060104082,-0.0724680238352895,0.4815592949226518
8.955467198012835,-3.9411823393877126,-49.65424406019239,11,1,T8,P845,-1.162983945870266,-2.3383540758183385,1,94.09618041338184,0.06661190511376769,-0.12846025388306992
13.262050184313905,-13.952145162260884,-105.60273644145818,10,2,T8,P846,-1.162983945870266,-2.3383540758183385,1,94.09618041338184,0.06661190511376769,-0.12846025388306992
17.329497486480992,-23.441571500570376,-158.60657132897316,10,3,T8,P847,-1.162983945870266,-2.3383540758183385,1,94.09618041338184,0.06661190511376769,-0.12846025388306992
21.497316482672755,-33.199989613315296,-213.08273496336358,10,4,T8,P848,-1.162983945870266,-2.3383540758183385,1,94.09618041338184,0.06661190511376769,-0.12846025388306992
25.540191673212377,-42.699910681008014,-266.0865698508785,10,5,T8,P849,-1.162983945870266,-2.3383540758183385,1,94.09618041338184,0.06661190511376769,-0.12846025388306992
29.5709391275126,-52.204983803207746,-319.0904047383935,9,6,T8,P850,-1.162983945870266,-2.3383540758183385,1,94.09618041338184,0.06661190511376769,-0.12846025388306992
33.3666144433519,-61.18671402207974,-369.1495821321576,9,7,T8,P851,-1.162983945870266,-2.3383540758183385,1,94.09618041338184,0.06661190511376769,-0.12846025388306992
37.15146074672222,-70.17301288689248,-419.2087595259218,9,8,T8,P852,-1.162983945870266,-2.3383540758183385,1,94.09618041338184,0.06661190511376769,-0.12846025388306992
40.92547253860899,-79.1638673414242,-469.26793691968584,9,9,T8,P853,-1.162983945870266,-2.3383540758183385,1,94.09618041338184,0.06661190511376769,-0.12846025388306992
44.68864433573801,-88.15926432283429,-519.3271143134501,9,10,T8,P854,-1.162983945870266,-2.3383540758183385,1,94.09618041338184,0.06661190511376769,-0.12846025388306992
-9.006068081167912,-3.360240675520282,-17.05243970983044,6,1,T9,P1033,2.5390914968687817,-1.657877169229386,-1,73.76111465271597,0.07869892856818561,-0.03103481450187251
-19.47243157965518,3.809931340160641,-49.135043707009785,5,2,T9,P1034,2.5390914968687817,-1.657877169229386,-1,73.76111465271597,0.07869892856818561,-0.03103481450187251
-27.673510177844516,9.406729576103576,-74.24316857436753,5,3,T9,P1035,2.5390914968687817,-1.657877169229386,-1,73.76111465271597,0.07869892856818561,-0.03103481450187251
-35.88334185586537,14.990680192477413,-99.35129344172529,5,4,T9,P1036,2.5390914968687817,-1.657877169229386,-1,73.76111465271597,0.07869892856818561,-0.03103481450187251
-44.10190648695316,20.56176949997952,-124.45941830908299,5,5,T9,P1037,2.5390914968687817,-1.657877169229386,-1,73.76111465271597,0.07869892856818561,-0.03103481450187251
-53.243862811799005,26.736767868811615,-152.35733482836935,5,6,T9,P1038,2.5390914968687817,-1.657877169229386,-1,73.76111465271597,0.07869892856818561,-0.03103481450187251
-61.48079748555217,32.28066071119733,-177.46545969572713,5,7,T9,P1039,2.5390914968687817,-1.657877169229386,-1,73.76111465271597,0.07869892856818561,-0.03103481450187251
-69.72640235908011,37.81164985756104,-202.57358456308492,5,8,T9,P1040,2.5390914968687817,-1.657877169229386,-1,73.76111465271597,0.07869892856818561,-0.03103481450187251
-77.98065721791703,43.32972174843875,-227.68170943044265,5,9,T9,P1041,2.5390914968687817,-1.657877169229386,-1,73.76111465271597,0.07869892856818561,-0.03103481450187251
-87.16217193709633,49.44574641826594,-255.579625949729,5,10,T9,P1042,2.5390914968687817,-1.657877169229386,-1,73.76111465271597,0.07869892856818561,-0.03103481450187251
-3.8307745733049856,-9.095767304196599,0.6793559870095223,8,1,T10,P1166,-1.411081066888718,-1.7789816125551674,1,99.91842663793807,-0.05224490584604469,0.24766285318356562
-2.2023915937851952,-19.307104600022726,-29.07508612818388,8,2,T10,P1167,-1.411081066888718,-1.7789816125551674,1,99.91842663793807,-0.05224490584604469,0.24766285318356562
-0.5862552998104347,-29.52038732284987,-58.82952824337728,8,3,T10,P1168,-1.411081066888718,-1.7789816125551674,1,99.91842663793807,-0.05224490584604469,0.24766285318356562
1.0175390392853556,-39.73561537781619,-88.5839703585707,9,4,T10,P1169,-1.411081066888718,-1.7789816125551674,1,99.91842663793807,-0.05224490584604469,0.24766285318356562
2.4580386344213547,-48.97961523715453,-115.50465608184092,9,5,T10,P1170,-1.411081066888718,-1.7789816125551674,1,99.91842663793807,-0.05224490584604469,0.24766285318356562
3.9634520428983873,-58.71183397085636,-143.8422200010727,9,6,T10,P1171,-1.411081066888718,-1.7789816125551674,1,99.91842663793807,-0.05224490584604469,0.24766285318356562
5.457707102613073,-68.44577216809158,-172.17978392030452,9,7,T10,P1172,-1.411081066888718,-1.7789816125551674,1,99.91842663793807,-0.05224490584604469,0.24766285318356562
6.940801849643827,-78.18141703540103,-200.51734783953634,9,8,T10,P1173,-1.411081066888718,-1.7789816125551674,1,99.91842663793807,-0.05224490584604469,0.24766285318356562
8.412734334738243,-87.91875577708832,-228.85491175876814,9,9,T10,P1174,-1.411081066888718,-1.7789816125551674,1,99.91842663793807,-0.05224490584604469,0.24766285318356562
9.873502623314511,-97.65777559522857,-257.19247567799994,9,10,T10,P1175,-1.411081066888718,-1.7789816125551674,1,99.91842663793807,-0.05224490584604469,0.24766285318356562
6.44468988540288,-7.051178708788413,74.2086217393642,10,1,T11,P1268,-0.34324081208887236,2.1294341743519483,-1,72.0795740555582,-0.04476752768457082,0.39212389410381043
16.389222609517834,-10.580422805979767,117.95391215059313,10,2,T11,P1269,-0.34324081208887236,2.1294341743519483,-1,72.0795740555582,-0.04476752768457082,0.39212389410381043
26.339750741783135,-14.092727588818702,161.6992025618221,11,3,T11,P1270,-0.34324081208887236,2.1294341743519483,-1,72.0795740555582,-0.04476752768457082,0.39212389410381043
35.632294068348976,-17.355586708143974,202.52814027896912,11,4,T11,P1271,-0.34324081208887236,2.1294341743519483,-1,72.0795740555582,-0.04476752768457082,0.39212389410381043
44.26571769519422,-20.37215664721968,240.44072530203417,11,5,T11,P1272,-0.34324081208887236,2.1294341743519483,-1,72.0795740555582,-0.04476752768457082,0.39212389410381043
53.56821853419359,-23.606517364438513,281.2696630191812,11,6,T11,P1273,-0.34324081208887236,2.1294341743519483,-1,72.0795740555582,-0.04476752768457082,0.39212389410381043
62.875848125648965,-26.82608915225914,322.0986007363282,11,7,T11,P1274,-0.34324081208887236,2.1294341743519483,-1,72.0795740555582,-0.04476752768457082,0.39212389410381043
72.18858295843351,-30.030863878024984,362.9275384534753,11,8,T11,P1275,-0.34324081208887236,2.1294341743519483,-1,72.0795740555582,-0.04476752768457082,0.39212389410381043
81.17352772992965,-33.1071767336104,402.2982998235814,11,9,T11,P1276,-0.34324081208887236,2.1294341743519483,-1,72.0795740555582,-0.04476752768457082,0.39212389410381043
90.16318737166046,-36.16968434308869,441.66906119368736,11,10,T11,P1277,-0.34324081208887236,2.1294341743519483,-1,72.0795740555582,-0.04476752768457082,0.39212389410381043
-6.187973231885267,7.425233955352192,-70.24420870246497,4,1,T12,P1283,2.15379222354692,-1.7510399439423683,-1,80.69630182660131,0.010713627753695554,-0.4341163858878655
-11.772130932313074,15.854211264967931,-98.48901934844227,4,2,T12,P1284,2.15379222354692,-1.7510399439423683,-1,80.69630182660131,0.010713627753695554,-0.4341163858878655
-17.368567278864994,24.27504114855629,-126.73382999441955,4,3,T12,P1285,2.15379222354692,-1.7510399439423683,-1,80.69630182660131,0.010713627753695554,-0.4341163858878655
-22.415848408897276,31.846807210963384,-152.1541595757991,4,4,T12,P1286,2.15379222354692,-1.7510399439423683,-1,80.69630182660131,0.010713627753695554,-0.4341163858878655
-28.035581412094167,40.25210772207585,-180.3989702217764,4,5,T12,P1287,2.15379222354692,-1.7510399439423683,-1,80.69630182660131,0.010713627753695554,-0.4341163858878655
-33.66755851654257,48.64920898407327,-208.64378086775366,4,6,T12,P1288,2.15379222354692,-1.7510399439423683,-1,80.69630182660131,0.010713627753695554,-0.4341163858878655
-38.74679673042739,56.19957501997324,-234.06411044913324,4,7,T12,P1289,2.15379222354692,-1.7510399439423683,-1,80.69630182660131,0.010713627753695554,-0.4341163858878655
-44.40200464835259,64.58104858458627,-262.3089210951106,4,8,T12,P1290,2.15379222354692,-1.7510399439423683,-1,80.69630182660131,0.010713627753695554,-0.4341163858878655
-50.06942190394145,72.95427122347402,-290.55373174108786,4,9,T12,P1291,2.15379222354692,-1.7510399439423683,-1,80.69630182660131,0.010713627753695554,-0.4341163858878655
-55.74903645914349,81.31922515123784,-318.79854238706514,4,10,T12,P1292,2.15379222354692,-1.7510399439423683,-1,80.69630182660131,0.010713627753695554,-0.4341163858878655
-3.015988538904567,-9.057356631537612,35.97930458311423,8,1,T13,P1312,-2.6218018054301386,2.3043444353475855,-1,38.07579090212966,0.06355208515558608,0.006897019622217226
-12.773623876640778,-14.691981570592992,91.85450873286068,7,2,T13,P1313,-2.6218018054301386,2.3043444353475855,-1,38.07579090212966,0.06355208515558608,0.006897019622217226
-21.231534803884333,-19.612513841923228,140.37771233658788,7,3,T13,P1314,-2.6218018054301386,2.3043444353475855,-1,38.07579090212966,0.06355208515558608,0.006897019622217226
-29.93033792253533,-24.708545558861882,190.37131604951892,7,4,T13,P1315,-2.6218018054301386,2.3043444353475855,-1,38.07579090212966,0.06355208515558608,0.006897019622217226
-38.61340479178703,-29.831344081271347,240.36491976244997,7,5,T13,P1316,-2.6218018054301386,2.3043444353475855,-1,38.07579090212966,0.06355208515558608,0.006897019622217226
-47.02597658322855,-34.828996624238144,288.8881233661771,7,6,T13,P1317,-2.6218018054301386,2.3043444353475855,-1,38.07579090212966,0.06355208515558608,0.006897019622217226
-55.67779294090636,-40.004399083573475,338.88172707910826,7,7,T13,P1318,-2.6218018054301386,2.3043444353475855,-1,38.07579090212966,0.06355208515558608,0.006897019622217226
-64.05984630459626,-45.053069848700275,387.40493068283547,7,8,T13,P1319,-2.6218018054301386,2.3043444353475855,-1,38.07579090212966,0.06355208515558608,0.006897019622217226
-72.6800933033541,-50.28088551468371,437.3985343957665,7,9,T13,P1320,-2.6218018054301386,2.3043444353475855,-1,38.07579090212966,0.06355208515558608,0.006897019622217226
-81.03138416513247,-55.38028116793216,485.92173799949364,7,10,T13,P1321,-2.6218018054301386,2.3043444353475855,-1,38.07579090212966,0.06355208515558608,0.006897019622217226
-8.013772948595022,-7.0019956594195385,-27.26480361466632,7,1,T14,P1331,-0.8526774516234408,-1.2713642326515333,1,93.5245659745731,-0.1064182785456349,-0.2726480361466632
2.751137245340961,-19.34783372684232,-54.17105849090977,9,2,T14,P1332,-0.8526774516234408,-1.2713642326515333,1,93.5245659745731,-0.1064182785456349,-0.2726480361466632
9.913780595453755,-27.59054835240044,-72.10856174173873,9,3,T14,P1333,-0.8526774516234408,-1.2713642326515333,1,93.5245659745731,-0.1064182785456349,-0.2726480361466632
16.554805654183323,-35.25317682252208,-88.76481476036562,9,4,T14,P1334,-0.8526774516234408,-1.2713642326515333,1,93.5245659745731,-0.1064182785456349,-0.2726480361466632
23.695834586830706,-43.51462409673604,-106.70231801119459,9,5,T14,P1335,-0.8526774516234408,-1.2713642326515333,1,93.5245659745731,-0.1064182785456349,-0.2726480361466632
30.825636729399925,-51.78576227049009,-124.63982126202353,10,6,T14,P1336,-0.8526774516234408,-1.2713642326515333,1,93.5245659745731,-0.1064182785456349,-0.2726480361466632
36.9279501308786,-58.883010877300165,-140.01482404844836,10,7,T14,P1337,-0.8526774516234408,-1.2713642326515333,1,93.5245659745731,-0.1064182785456349,-0.2726480361466632
43.021997346232155,-65.98735850208472,-155.3898268348732,10,8,T14,P1338,-0.8526774516234408,-1.2713642326515333,1,93.5245659745731,-0.1064182785456349,-0.2726480361466632
49.10777011695138,-73.09879551719717,-170.76482962129802,10,9,T14,P1339,-0.8526774516234408,-1.2713642326515333,1,93.5245659745731,-0.1064182785456349,-0.2726480361466632
55.69131478221351,-80.81086583211956,-187.42108263992492,10,10,T14,P1340,-0.8526774516234408,-1.2713642326515333,1,93.5245659745731,-0.1064182785456349,-0.2726480361466632
2.665141248244569,9.178741326398415,12.947398439244925,2,1,T15,P1346,1.5518946274907268,1.463289989616289,-1,88.23492964745859,-0.02496794034128047,-0.05916682538656304
2.833508474014395,19.063889031286465,33.15891377271053,2,2,T15,P1347,1.5518946274907268,1.463289989616289,-1,88.23492964745859,-0.02496794034128047,-0.05916682538656304
2.9890492092649166,28.949246877608708,53.37042910617613,2,3,T15,P1348,1.5518946274907268,1.463289989616289,-1,88.23492964745859,-0.02496794034128047,-0.05916682538656304
3.131648666454361,38.83479987503766,73.58194443964173,2,4,T15,P1349,1.5518946274907268,1.463289989616289,-1,88.23492964745859,-0.02496794034128047,-0.05916682538656304
3.269583972964946,49.37958450639772,95.1408941286717,2,5,T15,P1350,1.5518946274907268,1.463289989616289,-1,88.23492964745859,-0.02496794034128047,-0.05916682538656304
3.385612984952728,59.265485069247035,115.3524094621373,2,6,T15,P1351,1.5518946274907268,1.463289989616289,-1,88.23492964745859,-0.02496794034128047,-0.05916682538656304
3.488700042254406,69.15152905705045,135.56392479560293,2,7,T15,P1352,1.5518946274907268,1.463289989616289,-1,88.23492964745859,-0.02496794034128047,-0.05916682538656304
3.5789595010278354,79.03769848207392,155.77544012906853,2,8,T15,P1353,1.5518946274907268,1.463289989616289,-1,88.23492964745859,-0.02496794034128047,-0.05916682538656304
3.656276675224597,88.92397759631814,175.98695546253413,2,9,T15,P1354,1.5518946274907268,1.463289989616289,-1,88.23492964745859,-0.02496794034128047,-0.05916682538656304
3.7207659675006686,98.81034871019753,196.19847079599975,2,10,T15,P1355,1.5518946274907268,1.463289989616289,-1,88.23492964745859,-0.02496794034128047,-0.05916682538656304
7.402933448212291,-5.6766595238725355,42.824252873544815,10,1,T16,P1416,-0.6929848845641331,1.7828023677244684,1,69.81390186003836,0.0036922667382739416,0.15891877133934307
14.937207369794722,-11.963104387905606,71.17412207313481,10,2,T16,P1417,-0.6929848845641331,1.7828023677244684,1,69.81390186003836,0.0036922667382739416,0.15891877133934307
22.46119365106389,-18.26185847051911,99.52399127272483,10,3,T16,P1418,-0.6929848845641331,1.7828023677244684,1,69.81390186003836,0.0036922667382739416,0.15891877133934307
29.974872181695716,-24.572904936223253,127.87386047231482,10,4,T16,P1419,-0.6929848845641331,1.7828023677244684,1,69.81390186003836,0.0036922667382739416,0.15891877133934307
37.478222878917734,-30.896226916675786,156.22372967190483,10,5,T16,P1420,-0.6929848845641331,1.7828023677244684,1,69.81390186003836,0.0036922667382739416,0.15891877133934307
