x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
-6.6316,-7.0263,-13.1943,7,1,T5,-2.3063,-1.1056,-1,83.7697,-0.2098,-0.2026,50
-13.0982,-14.2021,-26.1859,7,2,T5,-2.3063,-1.1056,-1,83.7697,-0.2098,-0.2026,51
-19.555,-21.3865,-39.1776,7,3,T5,-2.3063,-1.1056,-1,83.7697,-0.2098,-0.2026,52
-26.0023,-28.5796,-52.1692,7,4,T5,-2.3063,-1.1056,-1,83.7697,-0.2098,-0.2026,53
-32.4398,-35.7813,-65.1609,7,5,T5,-2.3063,-1.1056,-1,83.7697,-0.2098,-0.2026,54
-39.0462,-43.192,-78.5134,7,6,T5,-2.3063,-1.1056,-1,83.7697,-0.2098,-0.2026,55
-45.4641,-50.4112,-91.505,7,7,T5,-2.3063,-1.1056,-1,83.7697,-0.2098,-0.2026,56
-51.8724,-57.639,-104.4967,7,8,T5,-2.3063,-1.1056,-1,83.7697,-0.2098,-0.2026,57
-58.271,-64.8754,-117.4883,7,9,T5,-2.3063,-1.1056,-1,83.7697,-0.2098,-0.2026,58
-64.6599,-72.1203,-130.48,7,10,T5,-2.3063,-1.1056,-1,83.7697,-0.2098,-0.2026,59
-9.0677,-3.3341,-3.6005,6,1,T6,-2.8064,-0.3739,-1,46.9184,0.1542,0.0964,60
-18.1785,-6.5444,-7.2974,6,2,T6,-2.8064,-0.3739,-1,46.9184,0.1542,0.0964,61
-27.2816,-9.7764,-10.9943,6,3,T6,-2.8064,-0.3739,-1,46.9184,0.1542,0.0964,62
-36.3768,-13.0303,-14.6912,6,4,T6,-2.8064,-0.3739,-1,46.9184,0.1542,0.0964,63
-45.4643,-16.3059,-18.3881,6,5,T6,-2.8064,-0.3739,-1,46.9184,0.1542,0.0964,64
-54.9385,-19.7472,-22.2457,6,6,T6,-2.8064,-0.3739,-1,46.9184,0.1542,0.0964,65
-63.6156,-22.9225,-25.7819,6,7,T6,-2.8064,-0.3739,-1,46.9184,0.1542,0.0964,66
-73.0732,-26.4091,-29.6395,6,8,T6,-2.8064,-0.3739,-1,46.9184,0.1542,0.0964,67
-82.1285,-29.7726,-33.3364,6,9,T6,-2.8064,-0.3739,-1,46.9184,0.1542,0.0964,68
