x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
-9.889,-0.4751,10.0972,6,1,T0,-3.0813,0.9197,-1,30.1102,-0.1408,-0.3468,0
-19.7671,-1.1285,20.5413,6,2,T0,-3.0813,0.9197,-1,30.1102,-0.1408,-0.3468,1
-29.6426,-1.8196,30.9854,6,3,T0,-3.0813,0.9197,-1,30.1102,-0.1408,-0.3468,2
-39.5154,-2.5485,41.4295,6,4,T0,-3.0813,0.9197,-1,30.1102,-0.1408,-0.3468,3
-49.0769,-3.2906,51.5472,6,5,T0,-3.0813,0.9197,-1,30.1102,-0.1408,-0.3468,4
-58.9439,-4.0939,61.9913,6,6,T0,-3.0813,0.9197,-1,30.1102,-0.1408,-0.3468,5
-68.4996,-4.9079,72.109,6,7,T0,-3.0813,0.9197,-1,30.1102,-0.1408,-0.3468,6
-78.3603,-5.7854,82.5531,6,8,T0,-3.0813,0.9197,-1,30.1102,-0.1408,-0.3468,7
-88.2176,-6.7006,92.9971,6,9,T0,-3.0813,0.9197,-1,30.1102,-0.1408,-0.3468,8
-98.0713,-7.6534,103.4412,6,10,T0,-3.0813,0.9197,-1,30.1102,-0.1408,-0.3468,9
9.0142,-3.375,25.7326,11,1,T1,-0.3788,1.7084,1,26.7122,0.2182,0.0443,10
18.0787,-7.0497,51.842,11,2,T1,-0.3788,1.7084,1,26.7122,0.2182,0.0443,11
27.1275,-10.763,77.9515,11,3,T1,-0.3788,1.7084,1,26.7122,0.2182,0.0443,12
36.1604,-14.5147,104.0609,11,4,T1,-0.3788,1.7084,1,26.7122,0.2182,0.0443,13
45.1772,-18.3049,130.1703,11,5,T1,-0.3788,1.7084,1,26.7122,0.2182,0.0443,14
54.0327,-22.0715,155.8586,11,6,T1,-0.3788,1.7084,1,26.7122,0.2182,0.0443,15
63.0172,-25.9377,181.968,11,7,T1,-0.3788,1.7084,1,26.7122,0.2182,0.0443,16
71.9851,-29.8422,208.0775,11,8,T1,-0.3788,1.7084,1,26.7122,0.2182,0.0443,17
80.9363,-33.7849,234.1869,11,9,T1,-0.3788,1.7084,1,26.7122,0.2182,0.0443,18
89.8707,-37.7656,260.2963,11,10,T1,-0.3788,1.7084,1,26.7122,0.2182,0.0443,19
4.0707,-8.7815,-23.8211,9,1,T2,-1.1013,-1.63,-1,33.7584,-0.3587,-0.0834,20
8.6454,-17.6876,-48.3917,9,2,T2,-1.1013,-1.63,-1,33.7584,-0.3587,-0.0834,21
13.2509,-26.578,-72.9623,9,3,T2,-1.1013,-1.63,-1,33.7584,-0.3587,-0.0834,22
17.8082,-35.3021,-97.1164,9,4,T2,-1.1013,-1.63,-1,33.7584,-0.3587,-0.0834,23
22.395,-44.0107,-121.2705,9,5,T2,-1.1013,-1.63,-1,33.7584,-0.3587,-0.0834,24
27.0114,-52.7037,-145.4246,9,6,T2,-1.1013,-1.63,-1,33.7584,-0.3587,-0.0834,25
31.6572,-61.381,-169.5788,9,7,T2,-1.1013,-1.63,-1,33.7584,-0.3587,-0.0834,26
36.4941,-70.3409,-194.5658,9,8,T2,-1.1013,-1.63,-1,33.7584,-0.3587,-0.0834,27
41.1997,-78.9859,-218.7199,9,9,T2,-1.1013,-1.63,-1,33.7584,-0.3587,-0.0834,28
45.9346,-87.615,-242.8741,9,10,T2,-1.1013,-1.63,-1,33.7584,-0.3587,-0.0834,29
-6.4438,-6.8304,-0.9654,7,1,T3,-2.3268,-0.1066,-1,39.4906,-0.0156,0.0377,30
-13.1621,-14.0163,-2.0163,7,2,T3,-2.3268,-0.1066,-1,39.4906,-0.0156,0.0377,31
-19.8597,-21.2217,-3.0671,7,3,T3,-2.3268,-0.1066,-1,39.4906,-0.0156,0.0377,32
-26.5363,-28.4464,-4.1179,7,4,T3,-2.3268,-0.1066,-1,39.4906,-0.0156,0.0377,33
-32.8898,-35.3608,-5.121,7,5,T3,-2.3268,-0.1066,-1,39.4906,-0.0156,0.0377,34
-39.2243,-42.2927,-6.1241,7,6,T3,-2.3268,-0.1066,-1,39.4906,-0.0156,0.0377,35
-45.8398,-49.5735,-7.1749,7,7,T3,-2.3268,-0.1066,-1,39.4906,-0.0156,0.0377,36
-52.4342,-56.8734,-8.2257,7,8,T3,-2.3268,-0.1066,-1,39.4906,-0.0156,0.0377,37
-59.0073,-64.1924,-9.2766,7,9,T3,-2.3268,-0.1066,-1,39.4906,-0.0156,0.0377,38
-65.2619,-71.1965,-10.2797,7,10,T3,-2.3268,-0.1066,-1,39.4906,-0.0156,0.0377,39
5.3519,-8.3793,-19.9846,10,1,T4,-1.0037,-1.4563,1,83.6274,0.0202,0.1827,40
10.6751,-16.7768,-40.1519,10,2,T4,-1.0037,-1.4563,1,83.6274,0.0202,0.1827,41
15.9867,-25.1817,-60.3192,10,3,T4,-1.0037,-1.4563,1,83.6274,0.0202,0.1827,42
21.1808,-33.4256,-80.0832,10,4,T4,-1.0037,-1.4563,1,83.6274,0.0202,0.1827,43
26.4693,-41.8449,-100.2505,10,5,T4,-1.0037,-1.4563,1,83.6274,0.0202,0.1827,44
31.6408,-50.103,-120.0145,10,6,T4,-1.0037,-1.4563,1,83.6274,0.0202,0.1827,45
36.9063,-58.5369,-140.1818,10,7,T4,-1.0037,-1.4563,1,83.6274,0.0202,0.1827,46
42.1602,-66.978,-160.3491,10,8,T4,-1.0037,-1.4563,1,83.6274,0.0202,0.1827,47
47.4023,-75.4263,-180.5164,10,9,T4,-1.0037,-1.4563,1,83.6274,0.0202,0.1827,48
52.6328,-83.8819,-200.6837,10,10,T4,-1.0037,-1.4563,1,83.6274,0.0202,0.1827,49
8.157,5.4186,-22.9227,1,1,T5,0.6198,-1.5785,-1,91.3523,-0.3334,-0.2081,50
16.2579,11.2223,-46.0503,1,2,T5,0.6198,-1.5785,-1,91.3523,-0.3334,-0.2081,51
24.0625,16.8284,-68.352,1,3,T5,0.6198,-1.5785,-1,91.3523,-0.3334,-0.2081,52
32.1488,22.6522,-91.4796,1,4,T5,0.6198,-1.5785,-1,91.3523,-0.3334,-0.2081,53
39.9394,28.2777,-113.7812,1,5,T5,0.6198,-1.5785,-1,91.3523,-0.3334,-0.2081,54
48.0113,34.1217,-136.9088,1,6,T5,0.6198,-1.5785,-1,91.3523,-0.3334,-0.2081,55
55.7878,39.7667,-159.2105,1,7,T5,0.6198,-1.5785,-1,91.3523,-0.3334,-0.2081,56
63.7012,45.5259,-181.9251,1,8,T5,0.6198,-1.5785,-1,91.3523,-0.3334,-0.2081,57
71.6075,51.295,-204.6397,1,9,T5,0.6198,-1.5785,-1,91.3523,-0.3334,-0.2081,58
79.5065,57.074,-227.3544,1,10,T5,0.6198,-1.5785,-1,91.3523,-0.3334,-0.2081,59
-2.8097,9.1223,-6.2356,3,1,T6,1.8542,-0.5881,-1,85.6406,0.1406,-0.2939,60
-5.6039,18.6468,-12.415,3,2,T6,1.8542,-0.5881,-1,85.6406,0.1406,-0.2939,61
-8.3028,27.8013,-18.3567,3,3,T6,1.8542,-0.5881,-1,85.6406,0.1406,-0.2939,62
-11.0135,36.9524,-24.2984,3,4,T6,1.8542,-0.5881,-1,85.6406,0.1406,-0.2939,63
-13.7362,46.0999,-30.2401,3,5,T6,1.8542,-0.5881,-1,85.6406,0.1406,-0.2939,64
-16.5803,55.6095,-36.4195,3,6,T6,1.8542,-0.5881,-1,85.6406,0.1406,-0.2939,65
-19.327,64.7498,-42.3612,3,7,T6,1.8542,-0.5881,-1,85.6406,0.1406,-0.2939,66
-22.0857,73.8866,-48.3029,3,8,T6,1.8542,-0.5881,-1,85.6406,0.1406,-0.2939,67
-24.9672,83.3849,-54.4823,3,9,T6,1.8542,-0.5881,-1,85.6406,0.1406,-0.2939,68
-27.75,92.5143,-60.424,3,10,T6,1.8542,-0.5881,-1,85.6406,0.1406,-0.2939,69
0.6763,-9.8419,44.3511,9,1,T7,-1.5211,2.2184,1,33.2469,0.2037,-0.4453,70
1.1152,-19.6955,89.1474,9,2,T7,-1.5211,2.2184,1,33.2469,0.2037,-0.4453,71
1.5201,-29.5506,133.9438,9,3,T7,-1.5211,2.2184,1,33.2469,0.2037,-0.4453,72
1.8944,-39.5036,179.1794,9,4,T7,-1.5211,2.2184,1,33.2469,0.2037,-0.4453,73
2.2341,-49.4579,224.4149,9,5,T7,-1.5211,2.2184,1,33.2469,0.2037,-0.4453,74
2.5362,-59.3166,269.2113,9,6,T7,-1.5211,2.2184,1,33.2469,0.2037,-0.4453,75
