x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
-5.7688,8.0358,-13.2207,4,1,T0,2.2297,-1.1109,1,70.7277,-0.351,0.1632,0
-11.6396,15.6547,-26.2428,4,2,T0,2.2297,-1.1109,1,70.7277,-0.351,0.1632,1
-17.4982,23.2829,-39.265,4,3,T0,2.2297,-1.1109,1,70.7277,-0.351,0.1632,2
-23.5071,31.1327,-52.6488,4,4,T0,2.2297,-1.1109,1,70.7277,-0.351,0.1632,3
-29.5032,38.9922,-66.0327,4,5,T0,2.2297,-1.1109,1,70.7277,-0.351,0.1632,4
-35.3249,46.6486,-79.0549,4,6,T0,2.2297,-1.1109,1,70.7277,-0.351,0.1632,5
-41.1345,54.3142,-92.077,4,7,T0,2.2297,-1.1109,1,70.7277,-0.351,0.1632,6
-47.0929,62.2024,-105.4609,4,8,T0,2.2297,-1.1109,1,70.7277,-0.351,0.1632,7
-53.0384,70.1002,-118.8448,4,9,T0,2.2297,-1.1109,1,70.7277,-0.351,0.1632,8
-58.8109,77.7938,-131.8669,4,10,T0,2.2297,-1.1109,1,70.7277,-0.351,0.1632,9
2.8912,-9.0817,-5.7782,9,1,T1,-1.3031,-0.5923,1,98.2095,0.3918,0.1973,10
5.4942,-18.6373,-11.9928,9,2,T1,-1.3031,-0.5923,1,98.2095,0.3918,0.1973,11
7.9864,-27.8284,-17.9684,9,3,T1,-1.3031,-0.5923,1,98.2095,0.3918,0.1973,12
10.5673,-37.39,-24.1829,9,4,T1,-1.3031,-0.5923,1,98.2095,0.3918,0.1973,13
13.0384,-46.5868,-30.1585,9,5,T1,-1.3031,-0.5923,1,98.2095,0.3918,0.1973,14
15.4991,-55.7863,-36.1341,9,6,T1,-1.3031,-0.5923,1,98.2095,0.3918,0.1973,15
18.0473,-65.3567,-42.3486,9,7,T1,-1.3031,-0.5923,1,98.2095,0.3918,0.1973,16
20.4868,-74.5619,-48.3242,9,8,T1,-1.3031,-0.5923,1,98.2095,0.3918,0.1973,17
22.916,-83.7698,-54.2997,9,9,T1,-1.3031,-0.5923,1,98.2095,0.3918,0.1973,18
25.4313,-93.3489,-60.5143,9,10,T1,-1.3031,-0.5923,1,98.2095,0.3918,0.1973,19
-4.17,-9.0559,8.9407,8,1,T2,-2.0304,0.8181,1,37.4509,0.2949,-0.1525,20
-8.6319,-17.9672,18.0339,8,2,T2,-2.0304,0.8181,1,37.4509,0.2949,-0.1525,21
-12.8212,-26.2719,26.5208,8,3,T2,-2.0304,0.8181,1,37.4509,0.2949,-0.1525,22
-17.3364,-35.1563,35.614,8,4,T2,-2.0304,0.8181,1,37.4509,0.2949,-0.1525,23
-21.879,-44.0267,44.7072,8,5,T2,-2.0304,0.8181,1,37.4509,0.2949,-0.1525,24
-26.4491,-52.883,53.8004,8,6,T2,-2.0304,0.8181,1,37.4509,0.2949,-0.1525,25
-31.0466,-61.7252,62.8936,8,7,T2,-2.0304,0.8181,1,37.4509,0.2949,-0.1525,26
-35.6714,-70.553,71.9868,8,8,T2,-2.0304,0.8181,1,37.4509,0.2949,-0.1525,27
-40.3235,-79.3665,81.08,8,9,T2,-2.0304,0.8181,1,37.4509,0.2949,-0.1525,28
-45.0029,-88.1656,90.1732,8,10,T2,-2.0304,0.8181,1,37.4509,0.2949,-0.1525,29
-9.2889,2.1547,15.0579,5,1,T3,2.8637,1.2202,1,27.2734,0.4952,0.3307,30
-18.6655,4.8917,30.1627,5,2,T3,2.8637,1.2202,1,27.2734,0.4952,0.3307,31
-28.0306,7.6676,45.2675,5,3,T3,2.8637,1.2202,1,27.2734,0.4952,0.3307,32
-37.384,10.4826,60.3723,5,4,T3,2.8637,1.2202,1,27.2734,0.4952,0.3307,33
-46.2588,13.1929,74.7219,5,5,T3,2.8637,1.2202,1,27.2734,0.4952,0.3307,34
-55.5891,16.0837,89.8267,5,6,T3,2.8637,1.2202,1,27.2734,0.4952,0.3307,35
-64.9073,19.0134,104.9315,5,7,T3,2.8637,1.2202,1,27.2734,0.4952,0.3307,36
-74.2131,21.9819,120.0363,5,8,T3,2.8637,1.2202,1,27.2734,0.4952,0.3307,37
-83.5066,24.9891,135.1412,5,9,T3,2.8637,1.2202,1,27.2734,0.4952,0.3307,38
-92.3236,27.8818,149.4907,5,10,T3,2.8637,1.2202,1,27.2734,0.4952,0.3307,39
7.6627,6.2329,5.0591,1,1,T4,0.7161,0.521,1,98.5698,-0.323,-0.3202,40
14.8224,12.4421,10.2232,1,2,T4,0.7161,0.521,1,98.5698,-0.323,-0.3202,41
22.2878,18.9015,15.6025,1,3,T4,0.7161,0.521,1,98.5698,-0.323,-0.3202,42
29.4617,25.0944,20.7666,1,4,T4,0.7161,0.521,1,98.5698,-0.323,-0.3202,43
36.9418,31.5368,26.1459,1,5,T4,0.7161,0.521,1,98.5698,-0.323,-0.3202,44
44.1298,37.7133,31.31,1,6,T4,0.7161,0.521,1,98.5698,-0.323,-0.3202,45
51.6247,44.1386,36.6893,1,7,T4,0.7161,0.521,1,98.5698,-0.323,-0.3202,46
58.8268,50.2986,41.8534,1,8,T4,0.7161,0.521,1,98.5698,-0.323,-0.3202,47
66.3362,56.7068,47.2327,1,9,T4,0.7161,0.521,1,98.5698,-0.323,-0.3202,48
