x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
-6.7562,-7.0174,39.5458,7,1,T0,-2.3718,2.1032,-1,66.9142,0.328,0.2611,0
-13.5744,-13.6599,77.9575,7,2,T0,-2.3718,2.1032,-1,66.9142,0.328,0.2611,1
-20.5362,-20.4651,117.2422,7,3,T0,-2.3718,2.1032,-1,66.9142,0.328,0.2611,2
-27.4093,-27.2063,156.0904,7,4,T0,-2.3718,2.1032,-1,66.9142,0.328,0.2611,3
-34.2711,-33.9589,194.9386,7,5,T0,-2.3718,2.1032,-1,66.9142,0.328,0.2611,4
-41.1985,-40.7991,234.2233,7,6,T0,-2.3718,2.1032,-1,66.9142,0.328,0.2611,5
-48.0375,-47.5748,273.0714,7,7,T0,-2.3718,2.1032,-1,66.9142,0.328,0.2611,6
-54.8652,-54.362,311.9196,7,8,T0,-2.3718,2.1032,-1,66.9142,0.328,0.2611,7
-61.758,-61.237,351.2043,7,9,T0,-2.3718,2.1032,-1,66.9142,0.328,0.2611,8
-68.5628,-68.0471,390.0525,7,10,T0,-2.3718,2.1032,-1,66.9142,0.328,0.2611,9
9.0093,-3.487,-42.3229,11,1,T1,-0.4088,-2.1889,-1,69.1515,0.3736,0.2165,10
17.9677,-7.3418,-85.3008,11,2,T1,-0.4088,-2.1889,-1,69.1515,0.3736,0.2165,11
26.9324,-11.1818,-128.2788,11,3,T1,-0.4088,-2.1889,-1,69.1515,0.3736,0.2165,12
35.9034,-15.0072,-171.2568,11,4,T1,-0.4088,-2.1889,-1,69.1515,0.3736,0.2165,13
44.8806,-18.8178,-214.2347,11,5,T1,-0.4088,-2.1889,-1,69.1515,0.3736,0.2165,14
53.8641,-22.6137,-257.2127,11,6,T1,-0.4088,-2.1889,-1,69.1515,0.3736,0.2165,15
62.8538,-26.3949,-300.1907,11,7,T1,-0.4088,-2.1889,-1,69.1515,0.3736,0.2165,16
71.8497,-30.1613,-343.1686,11,8,T1,-0.4088,-2.1889,-1,69.1515,0.3736,0.2165,17
80.8518,-33.9129,-386.1466,11,9,T1,-0.4088,-2.1889,-1,69.1515,0.3736,0.2165,18
89.86,-37.6498,-429.1246,11,10,T1,-0.4088,-2.1889,-1,69.1515,0.3736,0.2165,19
3.783,-9.0733,6.7834,9,1,T2,-1.1881,0.6063,1,44.812,0.1334,0.4521,20
7.419,-18.2057,13.1147,9,2,T2,-1.1881,0.6063,1,44.812,0.1334,0.4521,21
10.8932,-26.9956,19.2025,9,3,T2,-1.1881,0.6063,1,44.812,0.1334,0.4521,22
14.4834,-36.1461,25.5338,9,4,T2,-1.1881,0.6063,1,44.812,0.1334,0.4521,23
17.9135,-44.9533,31.6216,9,5,T2,-1.1881,0.6063,1,44.812,0.1334,0.4521,24
21.4579,-54.1216,37.9529,9,6,T2,-1.1881,0.6063,1,44.812,0.1334,0.4521,25
24.9789,-63.299,44.2842,9,7,T2,-1.1881,0.6063,1,44.812,0.1334,0.4521,26
28.4765,-72.4853,50.6155,9,8,T2,-1.1881,0.6063,1,44.812,0.1334,0.4521,27
31.9506,-81.6805,56.9468,9,9,T2,-1.1881,0.6063,1,44.812,0.1334,0.4521,28
35.269,-90.5304,63.0346,9,10,T2,-1.1881,0.6063,1,44.812,0.1334,0.4521,29
