Source,Target,weight
0,1,1
0,11,0
0,71,0
0,311,0
0,531,0
0,611,0
0,931,0
0,961,0
0,1041,0
0,1091,0
0,1201,0
0,1431,0
0,1981,0
0,2101,0
0,2511,0
0,2601,0
0,2841,0
0,2911,0
0,3011,0
0,3891,0
0,3921,0
0,4041,0
0,4181,0
0,4191,0
0,4631,0
0,4751,0
0,4981,0
0,5171,0
0,5361,0
0,5421,0
0,5861,0
0,5871,0
0,6031,0
0,6071,0
0,6271,0
0,6401,0
0,6751,0
0,6861,0
0,7321,0
0,7581,0
0,7781,0
0,7911,0
0,8341,0
0,8501,0
0,8631,0
0,8711,0
0,8861,0
0,9001,0
0,9191,0
0,9201,0
0,9871,0
10,11,1
10,71,0
10,301,0
10,591,0
10,791,0
10,1041,0
10,1091,0
10,1651,0
10,1681,0
10,1691,0
10,1701,0
10,2101,0
10,2281,0
10,2601,0
10,2931,0
10,2971,0
10,3011,0
10,3291,0
10,3531,0
10,3741,0
10,3781,0
10,3921,0
10,4041,0
10,4181,0
10,4191,0
10,4281,0
10,4321,0
10,4751,0
10,4871,0
10,5491,0
10,5521,0
10,5561,0
10,5581,0
10,5951,0
10,5971,0
10,6151,0
10,6371,0
10,6401,0
10,6601,0
10,6861,0
10,7321,0
10,7511,0
10,7781,0
10,7911,0
10,8091,0
10,8551,0
10,8641,0
10,8861,0
10,8951,0
10,9001,0
10,9031,0
10,9201,0
10,9561,0
10,9741,0
10,9781,0
10,9941,0
20,21,1
20,191,0
20,231,0
20,281,0
20,451,0
20,491,0
20,581,0
20,731,0
20,751,0
20,781,0
20,831,0
20,911,0
20,1211,0
20,1341,0
20,1401,0
20,1411,0
20,1491,0
20,1511,0
20,1731,0
20,1901,0
20,1951,0
20,2181,0
20,2391,0
20,2641,0
20,2741,0
20,2921,0
20,2981,0
20,3421,0
20,3661,0
20,3711,0
20,4021,0
20,4451,0
20,4761,0
20,4951,0
20,5121,0
20,5141,0
20,5301,0
20,5331,0
20,5341,0
20,5501,0
20,5531,0
20,5661,0
20,5671,0
20,5701,0
20,5781,0
20,5881,0
20,5941,0
20,5991,0
20,6211,0
20,6251,0
20,6881,0
20,6891,0
20,7031,0
20,7081,0
20,7231,0
20,7351,0
20,7401,0
20,7501,0
20,7671,0
20,7841,0
20,7851,0
20,8121,0
20,8141,0
20,8401,0
20,8421,0
20,8681,0
20,8691,0
20,8741,0
20,8901,0
20,8981,0
20,9161,0
20,9521,0
20,9551,0
20,9731,0
20,9751,0
30,31,1
30,341,0
30,381,0
30,481,0
30,621,0
30,641,0
30,801,0
30,811,0
30,951,0
30,1081,0
30,1321,0
30,1451,0
30,1641,0
30,1671,0
30,1781,0
30,2071,0
30,2111,0
30,2151,0
30,2201,0
30,2241,0
30,2401,0
30,2411,0
30,2501,0
30,2761,0
30,3121,0
30,3371,0
30,3481,0
30,3561,0
30,3671,0
30,3751,0
30,3971,0
30,4001,0
30,4081,0
30,4091,0
30,4261,0
30,4401,0
30,4901,0
30,4961,0
30,5471,0
30,5711,0
30,6131,0
30,6191,0
30,6201,0
30,6231,0
30,6381,0
30,6441,0
30,6581,0
30,6651,0
30,6721,0
30,6741,0
30,6791,0
30,6971,0
30,7191,0
30,7451,0
30,8131,0
30,8181,0
30,8231,0
30,8301,0
30,8441,0
30,8491,0
30,8511,0
30,8521,0
30,8591,0
30,8601,0
30,8831,0
30,8911,0
30,8991,0
30,9021,0
30,9061,0
30,9141,0
30,9171,0
30,9301,0
30,9361,0
30,9541,0
30,9721,0
30,9901,0
30,9961,0
40,41,1
40,451,0
40,1151,0
40,1271,0
40,1371,0
40,1481,0
40,1721,0
40,1861,0
40,1871,0
40,1901,0
40,2251,0
40,2421,0
40,2541,0
40,2561,0
40,3111,0
40,3301,0
40,3361,0
40,3551,0
40,3711,0
40,3791,0
40,3981,0
40,4101,0
40,4111,0
40,4131,0
40,4301,0
40,4311,0
40,4391,0
40,4761,0
40,4951,0
40,5011,0
40,5161,0
40,5281,0
40,5311,0
40,5371,0
40,5411,0
40,5441,0
40,5451,0
40,5511,0
40,5531,0
40,5551,0
40,5661,0
40,5671,0
40,5701,0
40,6141,0
40,6531,0
40,6811,0
40,6881,0
40,7101,0
40,7251,0
40,7331,0
40,7361,0
40,7571,0
40,7741,0
40,7831,0
40,8571,0
40,8651,0
40,8841,0
40,9441,0
40,9661,0
40,9821,0
40,9851,0
40,9881,0
50,51,1
50,91,0
50,461,0
50,691,0
50,721,0
50,971,0
50,1501,0
50,2001,0
50,2091,0
50,2141,0
50,2161,0
50,2331,0
50,3001,0
50,3061,0
50,3071,0
50,3151,0
50,3231,0
50,3391,0
50,3471,0
50,3511,0
50,3631,0
50,3651,0
50,3681,0
50,3801,0
50,3871,0
50,4171,0
50,4431,0
50,4481,0
50,4661,0
50,4731,0
50,4851,0
50,5091,0
50,5151,0
50,5221,0
50,5431,0
50,6021,0
50,6241,0
50,6291,0
50,6491,0
50,6521,0
50,6991,0
50,7041,0
50,7291,0
50,7381,0
50,7421,0
50,7711,0
50,7761,0
50,7971,0
50,8001,0
50,8081,0
50,8271,0
50,8471,0
50,8621,0
50,8671,0
50,8701,0
50,9041,0
50,9211,0
50,9221,0
50,9311,0
50,9381,0
50,9471,0
60,61,1
60,221,0
60,521,0
60,571,0
60,1161,0
60,1281,0
60,1421,0
60,1611,0
60,1811,0
60,1911,0
60,1921,0
60,2311,0
60,2531,0
60,2721,0
60,2801,0
60,3191,0
60,3261,0
60,3331,0
60,3691,0
60,3721,0
60,3731,0
60,3911,0
60,3941,0
60,3951,0
60,4011,0
60,4421,0
60,4511,0
60,4531,0
60,4801,0
60,5191,0
60,5261,0
60,5351,0
60,6711,0
60,6731,0
60,6821,0
60,7131,0
60,7141,0
60,7241,0
60,7961,0
60,8041,0
60,8101,0
60,8241,0
60,8461,0
60,8751,0
60,8871,0
60,8931,0
60,8941,0
60,9131,0
60,9181,0
60,9231,0
60,9331,0
60,9351,0
60,9411,0
60,9491,0
60,9601,0
60,9921,0
70,1,0
70,11,0
70,71,1
70,531,0
70,591,0
70,611,0
70,961,0
70,1041,0
70,1091,0
70,1201,0
70,1651,0
70,1701,0
70,2101,0
70,2601,0
70,2841,0
70,2911,0
70,2931,0
70,2971,0
70,3011,0
70,3891,0
70,3921,0
70,4041,0
70,4181,0
70,4191,0
70,4321,0
70,4631,0
70,4751,0
70,4871,0
70,4981,0
70,5171,0
70,5421,0
70,5491,0
70,5561,0
70,5581,0
70,5871,0
70,5951,0
70,6401,0
70,6751,0
70,6861,0
