x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
7.5387,-6.0894,15.4743,10,1,T0,-0.7125,1.2594,-1,99.9612,0.3144,-0.2145,0
14.879,-12.4083,31.1631,10,2,T0,-0.7125,1.2594,-1,99.9612,0.3144,-0.2145,1
22.2264,-18.7191,46.8519,10,3,T0,-0.7125,1.2594,-1,99.9612,0.3144,-0.2145,2
29.5809,-25.0215,62.5407,10,4,T0,-0.7125,1.2594,-1,99.9612,0.3144,-0.2145,3
36.9425,-31.3156,78.2296,10,5,T0,-0.7125,1.2594,-1,99.9612,0.3144,-0.2145,4
44.3112,-37.6015,93.9184,10,6,T0,-0.7125,1.2594,-1,99.9612,0.3144,-0.2145,5
51.687,-43.879,109.6072,10,7,T0,-0.7125,1.2594,-1,99.9612,0.3144,-0.2145,6
59.0698,-50.1482,125.296,10,8,T0,-0.7125,1.2594,-1,99.9612,0.3144,-0.2145,7
66.4597,-56.4091,140.9848,10,9,T0,-0.7125,1.2594,-1,99.9612,0.3144,-0.2145,8
74.0372,-62.8141,157.0563,10,10,T0,-0.7125,1.2594,-1,99.9612,0.3144,-0.2145,9
-3.1959,-9.1381,-11.8415,8,1,T1,-1.8657,-1.0314,1,68.4331,-0.3939,-0.0001,10
-6.0302,-18.386,-23.683,8,2,T1,-1.8657,-1.0314,1,68.4331,-0.3939,-0.0001,11
-8.8796,-27.6293,-35.5245,8,3,T1,-1.8657,-1.0314,1,68.4331,-0.3939,-0.0001,12
-11.7443,-36.8678,-47.366,8,4,T1,-1.8657,-1.0314,1,68.4331,-0.3939,-0.0001,13
-14.6241,-46.1017,-59.2074,8,5,T1,-1.8657,-1.0314,1,68.4331,-0.3939,-0.0001,14
-17.5191,-55.3307,-71.0489,8,6,T1,-1.8657,-1.0314,1,68.4331,-0.3939,-0.0001,15
-20.4293,-64.5551,-82.8904,8,7,T1,-1.8657,-1.0314,1,68.4331,-0.3939,-0.0001,16
-23.3546,-73.7746,-94.7319,8,8,T1,-1.8657,-1.0314,1,68.4331,-0.3939,-0.0001,17
-26.2951,-82.9893,-106.5733,8,9,T1,-1.8657,-1.0314,1,68.4331,-0.3939,-0.0001,18
-29.2507,-92.1991,-118.4148,8,10,T1,-1.8657,-1.0314,1,68.4331,-0.3939,-0.0001,19
-0.2107,9.9268,21.3963,3,1,T2,1.5922,1.5013,1,42.5538,0.0115,0.2245,20
-0.383,19.8544,42.568,3,2,T2,1.5922,1.5013,1,42.5538,0.0115,0.2245,21
-0.5284,29.7824,63.7398,3,3,T2,1.5922,1.5013,1,42.5538,0.0115,0.2245,22
-0.6488,39.9016,85.3187,3,4,T2,1.5922,1.5013,1,42.5538,0.0115,0.2245,23
-0.7398,49.8303,106.4904,3,5,T2,1.5922,1.5013,1,42.5538,0.0115,0.2245,24
-0.8038,59.7591,127.6622,3,6,T2,1.5922,1.5013,1,42.5538,0.0115,0.2245,25
-0.8413,69.8791,149.2411,3,7,T2,1.5922,1.5013,1,42.5538,0.0115,0.2245,26
-0.8509,79.8081,170.4128,3,8,T2,1.5922,1.5013,1,42.5538,0.0115,0.2245,27
-0.8336,89.7372,191.5846,3,9,T2,1.5922,1.5013,1,42.5538,0.0115,0.2245,28
-0.7881,99.8571,213.1635,3,10,T2,1.5922,1.5013,1,42.5538,0.0115,0.2245,29
-2.9652,-9.1156,-7.8233,8,1,T3,-1.9222,-0.7736,1,33.5558,0.3693,0.349,30
-6.3068,-18.093,-15.9956,8,2,T3,-1.9222,-0.7736,1,33.5558,0.3693,0.349,31
-9.7992,-27.3794,-24.4597,8,3,T3,-1.9222,-0.7736,1,33.5558,0.3693,0.349,32
-13.3236,-36.6536,-32.9238,8,4,T3,-1.9222,-0.7736,1,33.5558,0.3693,0.349,33
-16.7567,-45.5965,-41.0961,8,5,T3,-1.9222,-0.7736,1,33.5558,0.3693,0.349,34
-20.2194,-54.5279,-49.2684,8,6,T3,-1.9222,-0.7736,1,33.5558,0.3693,0.349,35
-23.7118,-63.4478,-57.4406,8,7,T3,-1.9222,-0.7736,1,33.5558,0.3693,0.349,36
-27.3601,-72.674,-65.9048,8,8,T3,-1.9222,-0.7736,1,33.5558,0.3693,0.349,37
-31.0401,-81.8876,-74.3689,8,9,T3,-1.9222,-0.7736,1,33.5558,0.3693,0.349,38
-34.6233,-90.7714,-82.5412,8,10,T3,-1.9222,-0.7736,1,33.5558,0.3693,0.349,39
0.5611,-9.8443,9.0147,9,1,T4,-1.5385,0.8342,1,27.8642,0.2632,-0.1962,40
0.8188,-19.6982,18.2255,9,2,T4,-1.5385,0.8342,1,27.8642,0.2632,-0.1962,41
1.0358,-29.5531,27.4363,9,3,T4,-1.5385,0.8342,1,27.8642,0.2632,-0.1962,42
1.2124,-39.4088,36.6472,9,4,T4,-1.5385,0.8342,1,27.8642,0.2632,-0.1962,43
1.3521,-49.5937,46.165,9,5,T4,-1.5385,0.8342,1,27.8642,0.2632,-0.1962,44
1.4487,-59.7791,55.6829,9,6,T4,-1.5385,0.8342,1,27.8642,0.2632,-0.1962,45
1.5008,-69.6362,64.8937,9,7,T4,-1.5385,0.8342,1,27.8642,0.2632,-0.1962,46
1.5124,-79.4935,74.1046,9,8,T4,-1.5385,0.8342,1,27.8642,0.2632,-0.1962,47
1.4834,-89.3507,83.3154,9,9,T4,-1.5385,0.8342,1,27.8642,0.2632,-0.1962,48
1.4078,-99.8649,93.1403,9,10,T4,-1.5385,0.8342,1,27.8642,0.2632,-0.1962,49
2.7323,9.1677,6.3816,2,1,T5,1.2751,0.5837,1,50.4058,0.0682,0.4753,50
5.5502,18.3093,12.2879,2,2,T5,1.2751,0.5837,1,50.4058,0.0682,0.4753,51
8.5021,27.81,18.4304,2,3,T5,1.2751,0.5837,1,50.4058,0.0682,0.4753,52
11.361,36.9388,24.3367,2,4,T5,1.2751,0.5837,1,50.4058,0.0682,0.4753,53
14.2401,46.0613,30.243,2,5,T5,1.2751,0.5837,1,50.4058,0.0682,0.4753,54
17.2556,55.5419,36.3856,2,6,T5,1.2751,0.5837,1,50.4058,0.0682,0.4753,55
20.1758,64.6514,42.2919,2,7,T5,1.2751,0.5837,1,50.4058,0.0682,0.4753,56
23.116,73.7543,48.1981,2,8,T5,1.2751,0.5837,1,50.4058,0.0682,0.4753,57
26.1952,83.2145,54.3407,2,9,T5,1.2751,0.5837,1,50.4058,0.0682,0.4753,58
29.1763,92.3041,60.247,2,10,T5,1.2751,0.5837,1,50.4058,0.0682,0.4753,59
-4.5988,8.7807,12.7129,3,1,T6,2.028,1.0376,-1,78.1193,0.2434,0.484,60
-8.9923,17.6623,24.9417,3,2,T6,2.028,1.0376,-1,78.1193,0.2434,0.484,61
-13.3989,26.5374,37.1706,3,3,T6,2.028,1.0376,-1,78.1193,0.2434,0.484,62
-17.6921,35.1528,49.0501,3,4,T6,2.028,1.0376,-1,78.1193,0.2434,0.484,63
-22.1245,44.0151,61.2789,3,5,T6,2.028,1.0376,-1,78.1193,0.2434,0.484,64
-26.57,52.8708,73.5078,3,6,T6,2.028,1.0376,-1,78.1193,0.2434,0.484,65
-31.0285,61.72,85.7367,3,7,T6,2.028,1.0376,-1,78.1193,0.2434,0.484,66
-35.5001,70.5626,97.9656,3,8,T6,2.028,1.0376,-1,78.1193,0.2434,0.484,67
-39.8564,79.1462,109.845,3,9,T6,2.028,1.0376,-1,78.1193,0.2434,0.484,68
-44.4823,88.2279,122.4233,3,10,T6,2.028,1.0376,-1,78.1193,0.2434,0.484,69
-6.1486,7.7837,-15.0549,4,1,T7,2.2535,-1.2314,1,56.6247,-0.1301,0.4878,70
-12.2306,15.3097,-30.2186,4,2,T7,2.2535,-1.2314,1,56.6247,-0.1301,0.4878,71
