x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
-7.955,-5.5655,10.9497,7,1,T0,-2.5813,0.9481,-1,93.0602,0.4814,0.3166,0
-16.4159,-10.8949,21.9151,7,2,T0,-2.5813,0.9481,-1,93.0602,0.4814,0.3166,1
-24.8701,-16.2347,32.8806,7,3,T0,-2.5813,0.9481,-1,93.0602,0.4814,0.3166,2
-33.0617,-21.4228,43.5137,7,4,T0,-2.5813,0.9481,-1,93.0602,0.4814,0.3166,3
-41.5028,-26.7835,54.4791,7,5,T0,-2.5813,0.9481,-1,93.0602,0.4814,0.3166,4
-49.9371,-32.1547,65.4445,7,6,T0,-2.5813,0.9481,-1,93.0602,0.4814,0.3166,5
-58.1094,-37.3732,76.0777,7,7,T0,-2.5813,0.9481,-1,93.0602,0.4814,0.3166,6
-66.5305,-42.7652,87.0431,7,8,T0,-2.5813,0.9481,-1,93.0602,0.4814,0.3166,7
-74.9449,-48.1677,98.0085,7,9,T0,-2.5813,0.9481,-1,93.0602,0.4814,0.3166,8
-83.0978,-53.4165,108.6417,7,10,T0,-2.5813,0.9481,-1,93.0602,0.4814,0.3166,9
6.2945,-7.31,24.3111,10,1,T1,-0.8961,1.6708,1,70.0303,0.3568,-0.4079,10
12.3999,-14.9803,49.4491,10,2,T1,-0.8961,1.6708,1,70.0303,0.3568,-0.4079,11
18.4929,-22.6606,74.587,10,3,T1,-0.8961,1.6708,1,70.0303,0.3568,-0.4079,12
24.3709,-30.0943,98.887,10,4,T1,-0.8961,1.6708,1,70.0303,0.3568,-0.4079,13
30.4392,-37.7941,124.025,10,5,T1,-0.8961,1.6708,1,70.0303,0.3568,-0.4079,14
36.495,-45.5038,149.1629,10,6,T1,-0.8961,1.6708,1,70.0303,0.3568,-0.4079,15
42.5383,-53.2232,174.3009,10,7,T1,-0.8961,1.6708,1,70.0303,0.3568,-0.4079,16
48.4685,-60.8237,199.0199,10,8,T1,-0.8961,1.6708,1,70.0303,0.3568,-0.4079,17
54.3866,-68.4336,223.7389,10,9,T1,-0.8961,1.6708,1,70.0303,0.3568,-0.4079,18
60.3924,-76.1822,248.8768,10,10,T1,-0.8961,1.6708,1,70.0303,0.3568,-0.4079,19
-5.2274,-8.4419,28.6025,7,1,T2,-2.1101,1.7906,1,55.8384,-0.14,-0.3206,20
-10.3522,-16.945,57.5255,7,2,T2,-2.1101,1.7906,1,55.8384,-0.14,-0.3206,21
-15.4947,-25.4376,86.4486,7,3,T2,-2.1101,1.7906,1,55.8384,-0.14,-0.3206,22
-20.6546,-33.9195,115.3716,7,4,T2,-2.1101,1.7906,1,55.8384,-0.14,-0.3206,23
-25.8321,-42.3907,144.2947,7,5,T2,-2.1101,1.7906,1,55.8384,-0.14,-0.3206,24
-31.0272,-50.8512,173.2178,7,6,T2,-2.1101,1.7906,1,55.8384,-0.14,-0.3206,25
-36.2397,-59.301,202.1408,7,7,T2,-2.1101,1.7906,1,55.8384,-0.14,-0.3206,26
-41.4696,-67.7399,231.0639,7,8,T2,-2.1101,1.7906,1,55.8384,-0.14,-0.3206,27
-46.7171,-76.168,259.9869,7,9,T2,-2.1101,1.7906,1,55.8384,-0.14,-0.3206,28
-51.9819,-84.5852,288.91,7,10,T2,-2.1101,1.7906,1,55.8384,-0.14,-0.3206,29
-3.9925,-8.9342,-7.7993,8,1,T3,-1.9956,-0.7403,-1,41.2665,0.0311,0.1246,30
-7.9888,-17.8667,-15.7232,8,2,T3,-1.9956,-0.7403,-1,41.2665,0.0311,0.1246,31
-11.9605,-26.8101,-23.6472,8,3,T3,-1.9956,-0.7403,-1,41.2665,0.0311,0.1246,32
-15.9075,-35.7644,-31.5711,8,4,T3,-1.9956,-0.7403,-1,41.2665,0.0311,0.1246,33
-19.8298,-44.7296,-39.495,8,5,T3,-1.9956,-0.7403,-1,41.2665,0.0311,0.1246,34
-23.7273,-53.7056,-47.4189,8,6,T3,-1.9956,-0.7403,-1,41.2665,0.0311,0.1246,35
-27.6,-62.6923,-55.3429,8,7,T3,-1.9956,-0.7403,-1,41.2665,0.0311,0.1246,36
-31.448,-71.6897,-63.2668,8,8,T3,-1.9956,-0.7403,-1,41.2665,0.0311,0.1246,37
-35.2711,-80.6976,-71.1907,8,9,T3,-1.9956,-0.7403,-1,41.2665,0.0311,0.1246,38
-39.0693,-89.7161,-79.1147,8,10,T3,-1.9956,-0.7403,-1,41.2665,0.0311,0.1246,39
-9.9727,-0.2968,10.4175,6,1,T4,-3.0614,0.9107,1,86.4099,-0.4966,0.0352,40
-19.9066,-1.0753,20.7999,6,2,T4,-3.0614,0.9107,1,86.4099,-0.4966,0.0352,41
-29.5311,-1.8167,30.8579,6,3,T4,-3.0614,0.9107,1,86.4099,-0.4966,0.0352,42
-39.1566,-2.5456,40.9158,6,4,T4,-3.0614,0.9107,1,86.4099,-0.4966,0.0352,43
-49.0935,-3.285,51.2982,6,5,T4,-3.0614,0.9107,1,86.4099,-0.4966,0.0352,44
-59.0315,-4.011,61.6806,6,6,T4,-3.0614,0.9107,1,86.4099,-0.4966,0.0352,45
-68.6598,-4.7016,71.7385,6,7,T4,-3.0614,0.9107,1,86.4099,-0.4966,0.0352,46
-78.5996,-5.4013,82.1209,6,8,T4,-3.0614,0.9107,1,86.4099,-0.4966,0.0352,47
-88.2296,-6.0665,92.1788,6,9,T4,-3.0614,0.9107,1,86.4099,-0.4966,0.0352,48
-98.1713,-6.74,102.5612,6,10,T4,-3.0614,0.9107,1,86.4099,-0.4966,0.0352,49
7.611,5.9404,-34.1092,1,1,T5,0.7036,-1.9778,-1,81.2341,-0.4013,0.0823,50
15.0466,12.2761,-68.7335,1,2,T5,0.7036,-1.9778,-1,81.2341,-0.4013,0.0823,51
22.4734,18.6223,-103.3578,1,3,T5,0.7036,-1.9778,-1,81.2341,-0.4013,0.0823,52
29.706,24.8197,-137.1165,1,4,T5,0.7036,-1.9778,-1,81.2341,-0.4013,0.0823,53
37.1152,31.1864,-171.7408,1,5,T5,0.7036,-1.9778,-1,81.2341,-0.4013,0.0823,54
44.5155,37.5634,-206.3651,1,6,T5,0.7036,-1.9778,-1,81.2341,-0.4013,0.0823,55
51.7222,43.7909,-240.1238,1,7,T5,0.7036,-1.9778,-1,81.2341,-0.4013,0.0823,56
59.1049,50.1883,-274.7481,1,8,T5,0.7036,-1.9778,-1,81.2341,-0.4013,0.0823,57
66.4786,56.596,-309.3724,1,9,T5,0.7036,-1.9778,-1,81.2341,-0.4013,0.0823,58
73.6593,62.8535,-343.1311,1,10,T5,0.7036,-1.9778,-1,81.2341,-0.4013,0.0823,59
-5.6177,-7.8782,-12.5538,7,1,T6,-2.2143,-1.0684,-1,59.0756,0.224,-0.1377,60
-11.5649,-15.8547,-25.3247,7,2,T6,-2.2143,-1.0684,-1,59.0756,0.224,-0.1377,61
-17.3319,-23.6208,-37.7409,7,3,T6,-2.2143,-1.0684,-1,59.0756,0.224,-0.1377,62
-23.084,-31.3979,-50.157,7,4,T6,-2.2143,-1.0684,-1,59.0756,0.224,-0.1377,63
-28.9851,-39.4086,-62.9279,7,5,T6,-2.2143,-1.0684,-1,59.0756,0.224,-0.1377,64
-34.7072,-47.2079,-75.3441,7,6,T6,-2.2143,-1.0684,-1,59.0756,0.224,-0.1377,65
-40.4144,-55.018,-87.7603,7,7,T6,-2.2143,-1.0684,-1,59.0756,0.224,-0.1377,66
-46.2691,-63.0626,-100.5312,7,8,T6,-2.2143,-1.0684,-1,59.0756,0.224,-0.1377,67
-51.9461,-70.8948,-112.9473,7,9,T6,-2.2143,-1.0684,-1,59.0756,0.224,-0.1377,68
-57.7697,-78.9619,-125.7182,7,10,T6,-2.2143,-1.0684,-1,59.0756,0.224,-0.1377,69
-1.5168,-9.8966,2.6023,8,1,T7,-1.7028,0.2572,1,31.4991,-0.1829,-0.0005,70
-2.8285,-19.3813,5.092,8,2,T7,-1.7028,0.2572,1,31.4991,-0.1829,-0.0005,71
-4.1738,-28.8613,7.5817,8,3,T7,-1.7028,0.2572,1,31.4991,-0.1829,-0.0005,72
