x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
-1.2626,9.3229,-0.6374,3,1,T5,1.7066,-0.0871,1,48.2826,-0.0001,0.1829,50
-2.5629,19.0927,-1.4969,3,2,T5,1.7066,-0.0871,1,48.2826,-0.0001,0.1829,51
-3.8399,28.8656,-2.3563,3,3,T5,1.7066,-0.0871,1,48.2826,-0.0001,0.1829,52
-5.0937,38.6415,-3.2157,3,4,T5,1.7066,-0.0871,1,48.2826,-0.0001,0.1829,53
-6.3242,48.4203,-4.0752,3,5,T5,1.7066,-0.0871,1,48.2826,-0.0001,0.1829,54
-7.5316,58.2021,-4.9346,3,6,T5,1.7066,-0.0871,1,48.2826,-0.0001,0.1829,55
-8.7157,67.9866,-5.794,3,7,T5,1.7066,-0.0871,1,48.2826,-0.0001,0.1829,56
-9.8243,77.3291,-6.6144,3,8,T5,1.7066,-0.0871,1,48.2826,-0.0001,0.1829,57
-10.963,87.119,-7.4738,3,9,T5,1.7066,-0.0871,1,48.2826,-0.0001,0.1829,58
-12.0283,96.4665,-8.2942,3,10,T5,1.7066,-0.0871,1,48.2826,-0.0001,0.1829,59
-2.1715,9.5345,-11.4621,3,1,T6,1.7436,-0.9797,-1,62.4292,0.491,-0.2882,60
-3.8249,18.8589,-22.2975,3,2,T6,1.7436,-0.9797,-1,62.4292,0.491,-0.2882,61
-5.5471,28.4717,-33.4714,3,3,T6,1.7436,-0.9797,-1,62.4292,0.491,-0.2882,62
-7.2869,38.0813,-44.6453,3,4,T6,1.7436,-0.9797,-1,62.4292,0.491,-0.2882,63
-9.0441,47.6877,-55.8193,3,5,T6,1.7436,-0.9797,-1,62.4292,0.491,-0.2882,64
-10.7648,57.0,-66.6546,3,6,T6,1.7436,-0.9797,-1,62.4292,0.491,-0.2882,65
-12.5565,66.6,-77.8285,3,7,T6,1.7436,-0.9797,-1,62.4292,0.491,-0.2882,66
-14.3656,76.1968,-89.0025,3,8,T6,1.7436,-0.9797,-1,62.4292,0.491,-0.2882,67
-16.1365,85.4996,-99.8378,3,9,T6,1.7436,-0.9797,-1,62.4292,0.491,-0.2882,68
-17.9801,95.0899,-111.0117,3,10,T6,1.7436,-0.9797,-1,62.4292,0.491,-0.2882,69
8.9444,3.6094,-20.0796,0,1,T7,0.4295,-1.4912,1,72.6166,-0.4351,0.2364,70
