x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
9.9692,0.1007,36.1832,0,1,T0,0.0573,2.0085,1,78.9003,-0.4636,-0.2553,0
19.7944,0.6431,72.1878,0,2,T0,0.0573,2.0085,1,78.9003,-0.4636,-0.2553,1
29.6203,1.1713,108.1925,0,3,T0,0.0573,2.0085,1,78.9003,-0.4636,-0.2553,2
39.5653,1.6913,144.631,0,4,T0,0.0573,2.0085,1,78.9003,-0.4636,-0.2553,3
49.3927,2.1908,180.6356,0,5,T0,0.0573,2.0085,1,78.9003,-0.4636,-0.2553,4
59.2208,2.676,216.6403,0,6,T0,0.0573,2.0085,1,78.9003,-0.4636,-0.2553,5
69.168,3.1526,253.0787,0,7,T0,0.0573,2.0085,1,78.9003,-0.4636,-0.2553,6
78.9975,3.6091,289.0834,0,8,T0,0.0573,2.0085,1,78.9003,-0.4636,-0.2553,7
88.9461,4.0567,325.5218,0,9,T0,0.0573,2.0085,1,78.9003,-0.4636,-0.2553,8
98.7768,4.4845,361.5265,0,10,T0,0.0573,2.0085,1,78.9003,-0.4636,-0.2553,9
5.4675,-8.4544,-10.2256,10,1,T1,-1.0163,-0.8965,1,92.3204,0.2037,0.0579,10
10.586,-16.7549,-20.1878,10,2,T1,-1.0163,-0.8965,1,92.3204,0.2037,0.0579,11
15.6943,-25.0617,-30.15,10,3,T1,-1.0163,-0.8965,1,92.3204,0.2037,0.0579,12
20.9567,-33.6431,-40.4336,10,4,T1,-1.0163,-0.8965,1,92.3204,0.2037,0.0579,13
26.2082,-42.231,-50.7171,10,5,T1,-1.0163,-0.8965,1,92.3204,0.2037,0.0579,14
31.4488,-50.8257,-61.0007,10,6,T1,-1.0163,-0.8965,1,92.3204,0.2037,0.0579,15
36.5152,-59.1581,-70.9629,10,7,T1,-1.0163,-0.8965,1,92.3204,0.2037,0.0579,16
41.5714,-67.4967,-80.9251,10,8,T1,-1.0163,-0.8965,1,92.3204,0.2037,0.0579,17
46.7799,-76.1108,-91.2087,10,9,T1,-1.0163,-0.8965,1,92.3204,0.2037,0.0579,18
51.9775,-84.7315,-101.4922,10,10,T1,-1.0163,-0.8965,1,92.3204,0.2037,0.0579,19
-7.4615,-6.2936,-1.706,7,1,T2,-2.4798,-0.1689,1,78.387,0.387,-0.0508,20
-15.1695,-12.2707,-3.3612,7,2,T2,-2.4798,-0.1689,1,78.387,0.387,-0.0508,21
-22.8862,-18.2367,-5.0164,7,3,T2,-2.4798,-0.1689,1,78.387,0.387,-0.0508,22
-30.6114,-24.1915,-6.6716,7,4,T2,-2.4798,-0.1689,1,78.387,0.387,-0.0508,23
