x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
5.7231,-8.1671,-3.1885,10,1,T0,-0.9812,-0.2726,-1,80.9027,0.2085,-0.4372,0
11.0428,-16.0826,-5.8202,10,2,T0,-0.9812,-0.2726,-1,80.9027,0.2085,-0.4372,1
16.6159,-24.35,-8.5715,10,3,T0,-0.9812,-0.2726,-1,80.9027,0.2085,-0.4372,2
22.2007,-32.6095,-11.3228,10,4,T0,-0.9812,-0.2726,-1,80.9027,0.2085,-0.4372,3
27.5539,-40.5024,-13.9544,10,5,T0,-0.9812,-0.2726,-1,80.9027,0.2085,-0.4372,4
33.1619,-48.7461,-16.7057,10,6,T0,-0.9812,-0.2726,-1,80.9027,0.2085,-0.4372,5
38.7818,-56.9819,-19.457,10,7,T0,-0.9812,-0.2726,-1,80.9027,0.2085,-0.4372,6
44.1683,-64.852,-22.0887,10,8,T0,-0.9812,-0.2726,-1,80.9027,0.2085,-0.4372,7
49.8113,-73.0719,-24.84,10,9,T0,-0.9812,-0.2726,-1,80.9027,0.2085,-0.4372,8
55.466,-81.2837,-27.5913,10,10,T0,-0.9812,-0.2726,-1,80.9027,0.2085,-0.4372,9
-8.2042,5.5871,-11.2531,4,1,T1,2.5833,-0.9591,1,70.2803,-0.3848,-0.2143,10
-16.6037,10.8617,-22.292,4,2,T1,2.5833,-0.9591,1,70.2803,-0.3848,-0.2143,11
-24.9944,16.15,-33.3309,4,3,T1,2.5833,-0.9591,1,70.2803,-0.3848,-0.2143,12
-33.3765,21.4521,-44.3698,4,4,T1,2.5833,-0.9591,1,70.2803,-0.3848,-0.2143,13
-41.4962,26.6066,-55.0742,4,5,T1,2.5833,-0.9591,1,70.2803,-0.3848,-0.2143,14
-49.8611,31.9358,-66.1131,4,6,T1,2.5833,-0.9591,1,70.2803,-0.3848,-0.2143,15
-58.2172,37.2787,-77.1519,4,7,T1,2.5833,-0.9591,1,70.2803,-0.3848,-0.2143,16
-66.5646,42.6353,-88.1908,4,8,T1,2.5833,-0.9591,1,70.2803,-0.3848,-0.2143,17
-74.9031,48.0056,-99.2297,4,9,T1,2.5833,-0.9591,1,70.2803,-0.3848,-0.2143,18
-83.2328,53.3896,-110.2686,4,10,T1,2.5833,-0.9591,1,70.2803,-0.3848,-0.2143,19
-6.0688,-7.2961,-9.7034,7,1,T2,-2.2531,-0.8888,1,39.2908,-0.0956,-0.1141,20
-12.4857,-15.1243,-19.932,7,2,T2,-2.2531,-0.8888,1,39.2908,-0.0956,-0.1141,21
-18.5229,-22.4457,-29.5213,7,3,T2,-2.2531,-0.8888,1,39.2908,-0.0956,-0.1141,22
-24.5806,-29.7502,-39.1106,7,4,T2,-2.2531,-0.8888,1,39.2908,-0.0956,-0.1141,23
-31.0648,-37.5228,-49.3393,7,5,T2,-2.2531,-0.8888,1,39.2908,-0.0956,-0.1141,24
-37.1648,-44.792,-58.9286,7,6,T2,-2.2531,-0.8888,1,39.2908,-0.0956,-0.1141,25
-43.2852,-52.044,-68.5179,7,7,T2,-2.2531,-0.8888,1,39.2908,-0.0956,-0.1141,26
-49.8361,-59.7605,-78.7465,7,8,T2,-2.2531,-0.8888,1,39.2908,-0.0956,-0.1141,27
-55.9986,-66.9768,-88.3358,7,9,T2,-2.2531,-0.8888,1,39.2908,-0.0956,-0.1141,28
-62.1812,-74.1758,-97.9252,7,10,T2,-2.2531,-0.8888,1,39.2908,-0.0956,-0.1141,29
4.3247,8.8934,20.0953,2,1,T3,1.1223,1.4623,1,38.6573,-0.0264,-0.0982,30
8.6522,17.7855,40.2889,2,2,T3,1.1223,1.4623,1,38.6573,-0.0264,-0.0982,31
13.006,26.6646,60.4824,2,3,T3,1.1223,1.4623,1,38.6573,-0.0264,-0.0982,32
17.2984,35.3536,80.2721,2,4,T3,1.1223,1.4623,1,38.6573,-0.0264,-0.0982,33
21.7045,44.2069,100.4656,2,5,T3,1.1223,1.4623,1,38.6573,-0.0264,-0.0982,34
26.048,52.8704,120.2553,2,6,T3,1.1223,1.4623,1,38.6573,-0.0264,-0.0982,35
30.5062,61.6977,140.4489,2,7,T3,1.1223,1.4623,1,38.6573,-0.0264,-0.0982,36
34.9906,70.5116,160.6424,2,8,T3,1.1223,1.4623,1,38.6573,-0.0264,-0.0982,37
39.5012,79.3121,180.8359,2,9,T3,1.1223,1.4623,1,38.6573,-0.0264,-0.0982,38
44.038,88.0992,201.0295,2,10,T3,1.1223,1.4623,1,38.6573,-0.0264,-0.0982,39
9.3156,2.5853,52.9351,0,1,T4,0.2763,2.3961,-1,85.4232,-0.0603,0.3013,40
18.6112,5.2409,105.5689,0,2,T4,0.2763,2.3961,-1,85.4232,-0.0603,0.3013,41
27.9033,7.9087,158.2027,0,3,T4,0.2763,2.3961,-1,85.4232,-0.0603,0.3013,42
37.1138,10.5662,210.3943,0,4,T4,0.2763,2.3961,-1,85.4232,-0.0603,0.3013,43
46.4769,13.281,263.4704,0,5,T4,0.2763,2.3961,-1,85.4232,-0.0603,0.3013,44
55.6804,15.9628,315.6619,0,6,T4,0.2763,2.3961,-1,85.4232,-0.0603,0.3013,45
65.0364,18.7023,368.738,0,7,T4,0.2763,2.3961,-1,85.4232,-0.0603,0.3013,46
74.2328,21.4082,420.9296,0,8,T4,0.2763,2.3961,-1,85.4232,-0.0603,0.3013,47
83.5036,24.1492,473.5634,0,9,T4,0.2763,2.3961,-1,85.4232,-0.0603,0.3013,48
92.7707,26.9025,526.1972,0,10,T4,0.2763,2.3961,-1,85.4232,-0.0603,0.3013,49
-9.0138,3.8622,-33.1459,5,1,T5,2.7704,-1.9347,1,36.2074,-0.3143,0.0651,50
-18.012,7.4132,-65.9255,5,2,T5,2.7704,-1.9347,1,36.2074,-0.3143,0.0651,51
-26.9991,10.9921,-98.7051,5,3,T5,2.7704,-1.9347,1,36.2074,-0.3143,0.0651,52
-35.9751,14.599,-131.4847,5,4,T5,2.7704,-1.9347,1,36.2074,-0.3143,0.0651,53
-45.1755,18.3298,-165.1269,5,5,T5,2.7704,-1.9347,1,36.2074,-0.3143,0.0651,54
-54.1286,21.9931,-197.9065,5,6,T5,2.7704,-1.9347,1,36.2074,-0.3143,0.0651,55
-63.0702,25.6842,-230.6861,5,7,T5,2.7704,-1.9347,1,36.2074,-0.3143,0.0651,56
-72.0003,29.4031,-263.4657,5,8,T5,2.7704,-1.9347,1,36.2074,-0.3143,0.0651,57
-81.1534,33.2487,-297.108,5,9,T5,2.7704,-1.9347,1,36.2074,-0.3143,0.0651,58
-90.0599,37.0238,-329.8876,5,10,T5,2.7704,-1.9347,1,36.2074,-0.3143,0.0651,59
8.9369,4.2144,-43.4897,0,1,T6,0.4093,-2.1865,1,88.8971,0.3161,-0.0786,60
17.9129,8.0877,-86.4623,0,2,T6,0.4093,-2.1865,1,88.8971,0.3161,-0.0786,61
26.8023,11.9101,-128.9964,0,3,T6,0.4093,-2.1865,1,88.8971,0.3161,-0.0786,62
35.7882,15.7605,-171.969,0,4,T6,0.4093,-2.1865,1,88.8971,0.3161,-0.0786,63
44.6873,19.5603,-214.5031,0,5,T6,0.4093,-2.1865,1,88.8971,0.3161,-0.0786,64
53.683,23.3878,-257.4757,0,6,T6,0.4093,-2.1865,1,88.8971,0.3161,-0.0786,65
62.6836,27.2038,-300.4483,0,7,T6,0.4093,-2.1865,1,88.8971,0.3161,-0.0786,66
71.689,31.0083,-343.421,0,8,T6,0.4093,-2.1865,1,88.8971,0.3161,-0.0786,67
80.6993,34.8013,-386.3936,0,9,T6,0.4093,-2.1865,1,88.8971,0.3161,-0.0786,68
89.7145,38.5827,-429.3662,0,10,T6,0.4093,-2.1865,1,88.8971,0.3161,-0.0786,69
-3.2967,-9.132,-29.3871,8,1,T7,-1.871,-1.8154,-1,51.7447,-0.4598,-0.3862,70
-6.1339,-18.4061,-58.388,8,2,T7,-1.871,-1.8154,-1,51.7447,-0.4598,-0.3862,71
-8.9509,-27.6864,-87.3889,8,3,T7,-1.871,-1.8154,-1,51.7447,-0.4598,-0.3862,72
-11.7477,-36.9728,-116.3898,8,4,T7,-1.871,-1.8154,-1,51.7447,-0.4598,-0.3862,73
-14.4428,-45.9919,-144.5378,8,5,T7,-1.871,-1.8154,-1,51.7447,-0.4598,-0.3862,74
-17.1997,-55.2902,-173.5387,8,6,T7,-1.871,-1.8154,-1,51.7447,-0.4598,-0.3862,75
-19.9362,-64.5945,-202.5396,8,7,T7,-1.871,-1.8154,-1,51.7447,-0.4598,-0.3862,76
-22.6525,-73.9048,-231.5405,8,8,T7,-1.871,-1.8154,-1,51.7447,-0.4598,-0.3862,77
-25.3485,-83.2209,-260.5414,8,9,T7,-1.871,-1.8154,-1,51.7447,-0.4598,-0.3862,78
-28.0242,-92.543,-289.5423,8,10,T7,-1.871,-1.8154,-1,51.7447,-0.4598,-0.3862,79
9.7621,-0.4465,-15.5266,11,1,T8,-0.0669,-1.2492,-1,82.3005,0.2005,0.1097,80
19.7495,-1.0948,-31.5442,11,2,T8,-0.0669,-1.2492,-1,82.3005,0.2005,0.1097,81
29.5,-1.714,-47.1805,11,3,T8,-0.0669,-1.2492,-1,82.3005,0.2005,0.1097,82
39.2514,-2.3198,-62.8167,11,4,T8,-0.0669,-1.2492,-1,82.3005,0.2005,0.1097,83
49.2414,-2.9263,-78.8344,11,5,T8,-0.0669,-1.2492,-1,82.3005,0.2005,0.1097,84
58.9944,-3.5048,-94.4707,11,6,T8,-0.0669,-1.2492,-1,82.3005,0.2005,0.1097,85
68.7482,-4.0699,-110.1069,11,7,T8,-0.0669,-1.2492,-1,82.3005,0.2005,0.1097,86
78.7407,-4.6347,-126.1246,11,8,T8,-0.0669,-1.2492,-1,82.3005,0.2005,0.1097,87
88.7339,-5.1855,-142.1422,11,9,T8,-0.0669,-1.2492,-1,82.3005,0.2005,0.1097,88
98.49,-5.7094,-157.7785,11,10,T8,-0.0669,-1.2492,-1,82.3005,0.2005,0.1097,89
-2.3186,9.3282,7.5047,3,1,T9,1.7994,0.7107,1,65.9386,0.1528,0.0848,90
-4.4725,18.6946,14.9247,3,2,T9,1.7994,0.7107,1,65.9386,0.1528,0.0848,91
-6.6894,28.4118,22.6195,3,3,T9,1.7994,0.7107,1,65.9386,0.1528,0.0848,92
-8.7327,37.4384,29.7646,3,4,T9,1.7994,0.7107,1,65.9386,0.1528,0.0848,93
-10.9167,47.163,37.4594,3,5,T9,1.7994,0.7107,1,65.9386,0.1528,0.0848,94
-13.0065,56.544,44.8793,3,6,T9,1.7994,0.7107,1,65.9386,0.1528,0.0848,95
-15.0803,65.9285,52.2993,3,7,T9,1.7994,0.7107,1,65.9386,0.1528,0.0848,96
-17.2142,75.6642,59.9941,3,8,T9,1.7994,0.7107,1,65.9386,0.1528,0.0848,97
-19.1803,84.7079,67.1392,3,9,T9,1.7994,0.7107,1,65.9386,0.1528,0.0848,98
-21.2811,94.4509,74.834,3,10,T9,1.7994,0.7107,1,65.9386,0.1528,0.0848,99
